Group.1,R_W5_T1_150,R_W5_T1_151,R_W5_T1_152,R_W5_T1_154,R_W5_T1_160,R_W5_T1_176,R_W5_T1_178,R_W5_T1_179,R_W5_T1_181,R_W5_T1_182,R_W5_T1_185,R_W5_T1_187,R_W5_T1_206,R_W5_T1_208,R_W5_T1_209,R_W5_T1_210,R_W5_T2_142,R_W5_T2_143,R_W5_T2_145,R_W5_T2_146,R_W5_T2_147,R_W5_T2_164,R_W5_T2_169,R_W5_T2_170,R_W5_T2_171,R_W5_T2_173,R_W5_T2_175,R_W5_T2_190,R_W5_T2_191,R_W5_T2_192,R_W5_T2_193,R_W5_T2_196,R_W5_T2_197,R_W5_T2_198,R_W5_T2_200,R_W5_T2_203,R_W5_T3_100,R_W5_T3_101,R_W5_T3_103,R_W5_T3_104,R_W5_T3_121,R_W5_T3_122,R_W5_T3_124,R_W5_T3_125,R_W5_T3_128,R_W5_T3_129,R_W5_T3_130,R_W5_T3_132,R_W5_T3_133,R_W5_T3_72,R_W5_T3_74,R_W5_T3_76,R_W5_T3_77,R_W5_T3_92,R_W5_T3_94,R_W5_T3_98,R_W5_T4_107,R_W5_T4_109,R_W5_T4_110,R_W5_T4_113,R_W5_T4_114,R_W5_T4_115,R_W5_T4_116,R_W5_T4_118,R_W5_T4_134,R_W5_T4_136,R_W5_T4_137,R_W5_T4_139,R_W5_T4_140,R_W5_T4_78,R_W5_T4_79,R_W5_T4_81,R_W5_T4_84,R_W5_T4_85,R_W5_T4_87,R_W5_T4_90,R_W5_T4_91,R_W5_T5_10,R_W5_T5_11,R_W5_T5_12,R_W5_T5_13,R_W5_T5_14,R_W5_T5_15,R_W5_T5_18,R_W5_T5_19,R_W5_T5_20,R_W5_T5_21,R_W5_T5_37,R_W5_T5_39,R_W5_T5_41,R_W5_T5_43,R_W5_T5_45,R_W5_T5_46,R_W5_T5_48,R_W5_T5_49,R_W5_T5_65,R_W5_T5_68,R_W5_T5_69,R_W5_T6_1,R_W5_T6_22,R_W5_T6_23,R_W5_T6_24,R_W5_T6_25,R_W5_T6_27,R_W5_T6_29,R_W5_T6_32,R_W5_T6_33,R_W5_T6_35,R_W5_T6_4,R_W5_T6_5,R_W5_T6_50,R_W5_T6_51,R_W5_T6_54,R_W5_T6_55,R_W5_T6_56,R_W5_T6_57,R_W5_T6_6,R_W5_T6_61,R_W5_T6_62
Absidia,2,2,0,0,1,0,1,0,2,2,3,2,2,6,1,3,2,7,3,12,0,2,2,2,1,44,1,8,2,0,7,36,3,0,0,2,1,4,18,5,14,3,1,3,1,4,0,1,7,5,2,4,2,2,30,1,6,25,1,4,2,4,4,1,0,4,9,3,3,2,1,2,2,3,117,1,2,1,8,0,4,4,2,13,1,5,1,1,2,1,3,0,3,19,1,10,8,1,1,1,2,11,7,8,2,3,4,2,4,5,16,4,24,2,8,5,0,5,20
Acaulium,0,0,2,0,0,3,2,1,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10,9,5,0,0,0,0,2,0,0,1,2,0,4,2,3,0,0,1
Acremonium,7,8,5,4,7,8,8,7,3,3,4,12,0,3,6,10,3,13,4,4,8,14,8,2,4,4,8,7,10,7,6,5,9,3,4,4,15,10,8,9,7,25,19,17,6,16,19,8,4,11,15,21,23,14,16,14,7,8,8,13,16,8,10,12,13,6,8,7,12,18,19,10,15,11,24,11,15,14,16,19,12,19,14,19,19,18,13,9,13,25,14,7,10,17,9,14,14,13,9,7,16,15,22,14,24,11,7,9,15,16,11,14,13,9,22,6,9,11,11
Acrostalagmus,0,0,0,0,1,1,0,0,0,0,0,5,2,2,0,1,1,2,4,0,0,0,1,0,0,0,2,158,3,1,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,4,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,2
Agaricus,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3
Agrocybe,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Akenomyces,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternaria,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,2,0,2,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,1,0,0,3,0,12,0,1,0,0,0,5,0,1,0,0,4,1,1,0,0,1,6,2,0,1,3,1,1,0,0,1,2,2,0,1,3,1,3,4,2,1,1,0,0,1,0,0,1,1,0,0,1,2,1,1,4,3,7,3,1,4,0,0,0,1,0,4,8,1,1,3,0,2,4,3,3,1,1,14,15,4,3
Amanita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaurodon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,3,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
