SampleID,Time,Plot,Variety,Treatment,Height,Aboveground_biomass,Belowground_biomass,root_shoot,MIT_ric_sha_ratio
T2_ATOL_W5_2_1,W5,196,ATOL,Consortium B,36,33.36,1.18,0.035371703,-0.676688521
T2_ATOL_W5_2_3,W5,196,ATOL,Consortium B,33,29.85,1.48,0.04958124,-0.676688521
T2_ATOL_W5_2_2,W5,196,ATOL,Consortium B,38,23.12,1.27,0.054930796,-0.676688521
T2_ATOL_W5_3_1,W5,173,ATOL,Consortium B,34,22.66,1.41,0.062224184,-0.676688521
T2_ATOL_W5_1_1,W5,147,ATOL,Consortium B,30,15.81,0.99,0.062618596,-0.676688521
T2_ATOL_W5_3_3,W5,173,ATOL,Consortium B,37,27.82,1.81,0.065061107,-0.676688521
T2_ATOL_W5_1_2,W5,147,ATOL,Consortium B,41,39.31,3.15,0.080132282,-0.676688521
T2_ATOL_W5_3_2,W5,173,ATOL,Consortium B,32,19.93,1.65,0.082789764,-0.676688521
T2_ATOL_W5_1_3,W5,147,ATOL,Consortium B,36,33.57,2.99,0.08906762,-0.676688521
T2_DESIREE_W5_2_2,W5,197,DESIREE,Consortium B,34,21.16,0.98,0.0463138,0.351370362
T2_DESIREE_W5_3_1,W5,190,DESIREE,Consortium B,27,16.57,0.95,0.057332529,0.351370362
T2_DESIREE_W5_2_3,W5,197,DESIREE,Consortium B,45,62.17,3.7,0.059514235,0.351370362
T2_DESIREE_W5_3_2,W5,190,DESIREE,Consortium B,34,20.91,1.29,0.06169297,0.351370362
T2_DESIREE_W5_2_1,W5,197,DESIREE,Consortium B,39,57.08,3.58,0.062718991,0.351370362
T2_DESIREE_W5_1_3,W5,200,DESIREE,Consortium B,39,32.51,2.11,0.064903107,0.351370362
T2_DESIREE_W5_1_1,W5,200,DESIREE,Consortium B,34,36.43,2.83,0.077683228,0.351370362
T2_DESIREE_W5_3_3,W5,190,DESIREE,Consortium B,41,25.08,2.13,0.08492823,0.351370362
T2_DESIREE_W5_1_2,W5,200,DESIREE,Consortium B,47,24.15,2.06,0.085300207,0.351370362
T2_JELLY_W5_1_3,W5,192,JELLY,Consortium B,29,4.64,0.29,0.0625,0.138102096
T2_JELLY_W5_1_2,W5,192,JELLY,Consortium B,42,27.5,2.17,0.078909091,0.138102096
T2_JELLY_W5_2_2,W5,146,JELLY,Consortium B,36,40.05,3.29,0.082147316,0.138102096
T2_JELLY_W5_2_1,W5,146,JELLY,Consortium B,26,16.01,1.37,0.085571518,0.138102096
T2_JELLY_W5_3_1,W5,171,JELLY,Consortium B,22,9.79,0.97,0.099080695,0.138102096
T2_JELLY_W5_1_1,W5,192,JELLY,Consortium B,33,14.46,1.46,0.100968188,0.138102096
