"","R_W5_T1_160","R_W5_T1_177","R_W5_T1_183","R_W5_T1_176","R_W5_T1_179","R_W5_T1_210","R_W5_T1_157","R_W5_T1_181","R_W5_T1_189","R_W5_T1_150","R_W5_T1_186","R_W5_T1_208","R_W5_T1_151","R_W5_T1_154","R_W5_T1_185","R_W5_T1_182","R_W5_T1_187","R_W5_T1_209","R_W5_T1_152","R_W5_T1_178","R_W5_T1_206","R_W5_T2_147","R_W5_T2_173","R_W5_T2_196","R_W5_T2_190","R_W5_T2_197","R_W5_T2_200","R_W5_T2_146","R_W5_T2_171","R_W5_T2_192","R_W5_T2_193","R_W5_T2_198","R_W5_T2_203","R_W5_T2_142","R_W5_T2_164","R_W5_T2_191","R_W5_T2_143","R_W5_T2_170","R_W5_T2_172","R_W5_T2_145","R_W5_T2_169","R_W5_T2_175","R_W5_T3_77","R_W5_T3_125","R_W5_T3_132","R_W5_T3_74","R_W5_T3_92","R_W5_T3_103","R_W5_T3_71","R_W5_T3_130","R_W5_T3_133","R_W5_T3_76","R_W5_T3_124","R_W5_T3_128","R_W5_T3_98","R_W5_T3_101","R_W5_T3_121","R_W5_T3_72","R_W5_T3_94","R_W5_T3_129","R_W5_T3_100","R_W5_T3_104","R_W5_T3_122","R_W5_T4_87","R_W5_T4_91","R_W5_T4_139","R_W5_T4_81","R_W5_T4_107","R_W5_T4_115","R_W5_T4_118","R_W5_T4_136","R_W5_T4_140","R_W5_T4_90","R_W5_T4_114","R_W5_T4_116","R_W5_T4_78","R_W5_T4_109","R_W5_T4_110","R_W5_T4_85","R_W5_T4_113","R_W5_T4_134","R_W5_T4_79","R_W5_T4_84","R_W5_T4_137","R_W5_T5_11","R_W5_T5_13","R_W5_T5_69","R_W5_T5_10","R_W5_T5_12","R_W5_T5_48","R_W5_T5_19","R_W5_T5_21","R_W5_T5_45","R_W5_T5_18","R_W5_T5_41","R_W5_T5_68","R_W5_T5_14","R_W5_T5_37","R_W5_T5_39","R_W5_T5_15","R_W5_T5_20","R_W5_T5_49","R_W5_T5_43","R_W5_T5_46","R_W5_T5_65","R_W5_T6_1","R_W5_T6_29","R_W5_T6_35","R_W5_T6_5","R_W5_T6_25","R_W5_T6_56","R_W5_T6_33","R_W5_T6_51","R_W5_T6_55","R_W5_T6_22","R_W5_T6_23","R_W5_T6_62","R_W5_T6_4","R_W5_T6_24","R_W5_T6_57","R_W5_T6_27","R_W5_T6_54","R_W5_T6_61","R_W5_T6_6","R_W5_T6_32","R_W5_T6_50"
"R_W5_T1_160",0,0.434561403508772,0.418947368421053,0.432982456140351,0.445789473684211,0.478771929824561,0.430877192982456,0.413684210526316,0.428771929824561,0.45,0.482280701754386,0.42719298245614,0.461228070175439,0.453157894736842,0.433333333333333,0.403859649122807,0.458245614035088,0.486491228070175,0.416140350877193,0.450175438596491,0.660175438596491,0.778070175438596,0.460350877192982,0.489298245614035,0.424561403508772,0.505438596491228,0.460877192982456,0.407894736842105,0.432456140350877,0.460175438596491,0.454736842105263,0.498070175438596,0.467719298245614,0.470175438596491,0.450526315789474,0.444561403508772,0.454035087719298,0.472982456140351,0.597368421052632,0.437894736842105,0.446140350877193,0.412982456140351,0.468245614035088,0.468070175438596,0.461052631578947,0.451052631578947,0.484385964912281,0.443859649122807,0.451052631578947,0.658771929824561,0.472105263157895,0.449298245614035,0.45140350877193,0.440175438596491,0.486666666666667,0.487894736842105,0.50140350877193,0.427719298245614,0.528947368421053,0.446140350877193,0.501228070175439,0.436315789473684,0.427719298245614,0.524035087719298,0.525438596491228,0.522982456140351,0.508245614035088,0.51719298245614,0.495087719298246,0.510877192982456,0.464385964912281,0.506315789473684,0.508947368421053,0.496666666666667,0.522456140350877,0.457894736842105,0.588947368421053,0.530701754385965,0.507017543859649,0.527368421052632,0.523859649122807,0.514561403508772,0.523157894736842,0.487543859649123,0.450877192982456,0.467017543859649,0.505964912280702,0.456491228070175,0.440526315789474,0.470701754385965,0.46,0.457719298245614,0.437894736842105,0.50859649122807,0.470526315789474,0.524561403508772,0.456666666666667,0.449473684210526,0.458421052631579,0.441052631578947,0.48140350877193,0.525263157894737,0.468421052631579,0.505438596491228,0.488947368421053,0.478947368421053,0.505087719298246,0.44,0.502105263157895,0.483157894736842,0.494912280701754,0.434385964912281,0.476666666666667,0.454210526315789,0.483859649122807,0.523333333333333,0.48280701754386,0.615438596491228,0.50280701754386,0.479122807017544,0.50719298245614,0.511052631578947,0.470526315789474,0.493508771929825,0.490175438596491,0.596315789473684
"R_W5_T1_177",0.434561403508772,0,0.480526315789474,0.424912280701754,0.449649122807018,0.456140350877193,0.474736842105263,0.43,0.463508771929825,0.408771929824561,0.481578947368421,0.395438596491228,0.455263157894737,0.467894736842105,0.485964912280702,0.443684210526316,0.466491228070175,0.455087719298246,0.39859649122807,0.4,0.632280701754386,0.78140350877193,0.421578947368421,0.487368421052632,0.430701754385965,0.481754385964912,0.438947368421053,0.408070175438596,0.428070175438596,0.427543859649123,0.462456140350877,0.510526315789474,0.494035087719298,0.459649122807018,0.446666666666667,0.476315789473684,0.473508771929825,0.433333333333333,0.598070175438597,0.424736842105263,0.421228070175439,0.413157894736842,0.465614035087719,0.486491228070175,0.45280701754386,0.450175438596491,0.470175438596491,0.467017543859649,0.457894736842105,0.633684210526316,0.478771929824561,0.448771929824561,0.473157894736842,0.456140350877193,0.479649122807018,0.481052631578947,0.511228070175439,0.420526315789474,0.491929824561403,0.441052631578947,0.482982456140351,0.447894736842105,0.445614035087719,0.530526315789474,0.509649122807018,0.489473684210526,0.512982456140351,0.508070175438596,0.513508771929825,0.525263157894737,0.456315789473684,0.489649122807018,0.510175438596491,0.52280701754386,0.490526315789474,0.438771929824561,0.617543859649123,0.541754385964912,0.503333333333333,0.541578947368421,0.480350877192982,0.506491228070175,0.493859649122807,0.477017543859649,0.452105263157895,0.445263157894737,0.505263157894737,0.457894736842105,0.447894736842105,0.474912280701754,0.465438596491228,0.450701754385965,0.428421052631579,0.454035087719298,0.447719298245614,0.500526315789474,0.437894736842105,0.443859649122807,0.438421052631579,0.43140350877193,0.445964912280702,0.493333333333333,0.443684210526316,0.484210526315789,0.462456140350877,0.476491228070175,0.486140350877193,0.436315789473684,0.508421052631579,0.506842105263158,0.514912280701754,0.444385964912281,0.493508771929825,0.48859649122807,0.493859649122807,0.497719298245614,0.496140350877193,0.621754385964912,0.472631578947368,0.484561403508772,0.525614035087719,0.508245614035088,0.486140350877193,0.499122807017544,0.487894736842105,0.58719298245614
"R_W5_T1_183",0.418947368421053,0.480526315789474,0,0.450350877192982,0.479649122807018,0.491228070175439,0.428245614035088,0.418947368421053,0.463333333333333,0.456666666666667,0.504912280701754,0.465087719298246,0.510175438596491,0.496140350877193,0.414035087719298,0.447894736842105,0.486842105263158,0.521228070175439,0.469473684210526,0.448245614035088,0.673333333333333,0.774736842105263,0.503859649122807,0.473157894736842,0.394912280701754,0.500877192982456,0.466315789473684,0.432982456140351,0.453333333333333,0.473333333333333,0.429473684210526,0.511929824561403,0.498070175438596,0.487368421052632,0.463333333333333,0.46140350877193,0.473333333333333,0.495087719298246,0.581578947368421,0.456666666666667,0.466315789473684,0.427368421052632,0.486315789473684,0.454035087719298,0.441578947368421,0.462631578947368,0.431228070175439,0.429298245614035,0.439298245614035,0.618245614035088,0.464561403508772,0.399298245614035,0.424210526315789,0.404912280701754,0.476666666666667,0.471929824561404,0.464210526315789,0.44,0.539473684210526,0.43719298245614,0.51,0.44140350877193,0.448947368421053,0.540526315789474,0.520701754385965,0.542456140350877,0.500175438596491,0.513333333333333,0.481052631578947,0.490701754385965,0.460175438596491,0.505087719298246,0.51140350877193,0.499824561403509,0.536491228070175,0.471578947368421,0.577719298245614,0.540526315789474,0.507894736842105,0.541754385964912,0.524210526315789,0.497017543859649,0.479298245614035,0.501929824561404,0.432280701754386,0.505087719298246,0.520175438596491,0.451578947368421,0.413157894736842,0.487368421052632,0.479473684210526,0.463859649122807,0.44859649122807,0.527368421052632,0.499473684210526,0.544736842105263,0.433859649122807,0.471228070175439,0.47,0.450526315789474,0.53140350877193,0.509649122807018,0.479649122807018,0.532105263157895,0.492982456140351,0.500701754385965,0.505263157894737,0.486315789473684,0.468245614035088,0.487719298245614,0.500350877192982,0.410175438596491,0.466315789473684,0.480526315789474,0.494561403508772,0.520526315789474,0.449122807017544,0.568947368421053,0.511929824561403,0.461929824561404,0.513684210526316,0.502280701754386,0.484210526315789,0.516315789473684,0.515087719298246,0.58859649122807
"R_W5_T1_176",0.432982456140351,0.424912280701754,0.450350877192982,0,0.45140350877193,0.494736842105263,0.418245614035088,0.376491228070175,0.434736842105263,0.413859649122807,0.446842105263158,0.488947368421053,0.425964912280702,0.44280701754386,0.432280701754386,0.414035087719298,0.45140350877193,0.538947368421053,0.410701754385965,0.418070175438596,0.679649122807018,0.789298245614035,0.507017543859649,0.514210526315789,0.444035087719298,0.499122807017544,0.500877192982456,0.458245614035088,0.466666666666667,0.473684210526316,0.45280701754386,0.516140350877193,0.520175438596491,0.488421052631579,0.484912280701754,0.486666666666667,0.508245614035088,0.50140350877193,0.606491228070175,0.498421052631579,0.481052631578947,0.461578947368421,0.507368421052632,0.490350877192982,0.455087719298246,0.462982456140351,0.473684210526316,0.478771929824561,0.464035087719298,0.629473684210526,0.49140350877193,0.471578947368421,0.476666666666667,0.456140350877193,0.513684210526316,0.521052631578947,0.482105263157895,0.456666666666667,0.572982456140351,0.434912280701754,0.541052631578947,0.470526315789474,0.478070175438596,0.573508771929825,0.547543859649123,0.56140350877193,0.550350877192982,0.55578947368421,0.496140350877193,0.524736842105263,0.45719298245614,0.524561403508772,0.537543859649123,0.514210526315789,0.533684210526316,0.471052631578947,0.626491228070175,0.585087719298246,0.550877192982456,0.563859649122807,0.548070175438596,0.522456140350877,0.523859649122807,0.507368421052632,0.454912280701754,0.491754385964912,0.556140350877193,0.432456140350877,0.452105263157895,0.515789473684211,0.488421052631579,0.476315789473684,0.475964912280702,0.542631578947368,0.489649122807018,0.548947368421053,0.450350877192982,0.468245614035088,0.491052631578947,0.456491228070175,0.493859649122807,0.540877192982456,0.487368421052632,0.551929824561403,0.522631578947368,0.513508771929825,0.547894736842105,0.459122807017544,0.518245614035088,0.521578947368421,0.502982456140351,0.445438596491228,0.455087719298246,0.475964912280702,0.540526315789474,0.52719298245614,0.507543859649123,0.606140350877193,0.530701754385965,0.496842105263158,0.524912280701754,0.518245614035088,0.52859649122807,0.532280701754386,0.51859649122807,0.614210526315789
"R_W5_T1_179",0.445789473684211,0.449649122807018,0.479649122807018,0.45140350877193,0,0.536140350877193,0.424561403508772,0.424736842105263,0.448070175438597,0.422456140350877,0.454736842105263,0.497894736842105,0.46140350877193,0.464385964912281,0.473333333333333,0.434736842105263,0.43140350877193,0.521228070175439,0.451578947368421,0.462982456140351,0.641929824561403,0.811929824561404,0.535964912280702,0.52578947368421,0.497368421052632,0.547719298245614,0.53140350877193,0.498245614035088,0.488947368421053,0.507719298245614,0.478947368421053,0.54280701754386,0.546140350877193,0.506666666666667,0.545964912280702,0.512456140350877,0.510175438596491,0.526842105263158,0.638245614035088,0.546140350877193,0.523684210526316,0.48719298245614,0.55,0.50859649122807,0.51719298245614,0.495789473684211,0.520701754385965,0.5,0.503684210526316,0.640175438596491,0.548421052631579,0.512105263157895,0.530350877192982,0.504385964912281,0.517017543859649,0.537368421052632,0.505087719298246,0.495438596491228,0.582280701754386,0.500701754385965,0.551754385964912,0.474210526315789,0.51280701754386,0.61,0.589649122807018,0.588070175438597,0.572982456140351,0.59859649122807,0.547719298245614,0.601754385964912,0.504210526315789,0.544385964912281,0.575263157894737,0.565263157894737,0.605964912280702,0.510175438596491,0.654385964912281,0.635964912280702,0.612105263157895,0.601929824561404,0.603859649122807,0.571052631578947,0.576666666666667,0.564210526315789,0.509473684210526,0.511578947368421,0.561052631578947,0.475263157894737,0.506491228070175,0.521578947368421,0.50280701754386,0.538421052631579,0.488421052631579,0.569298245614035,0.511578947368421,0.58859649122807,0.514912280701754,0.48859649122807,0.518771929824561,0.514736842105263,0.523684210526316,0.567894736842105,0.517894736842105,0.56140350877193,0.518421052631579,0.547719298245614,0.575263157894737,0.513859649122807,0.558070175438596,0.536666666666667,0.539122807017544,0.480877192982456,0.496140350877193,0.511578947368421,0.558947368421053,0.589298245614035,0.547543859649123,0.636842105263158,0.551929824561403,0.540175438596491,0.527017543859649,0.543508771929825,0.557719298245614,0.567017543859649,0.574912280701754,0.643508771929825
"R_W5_T1_210",0.478771929824561,0.456140350877193,0.491228070175439,0.494736842105263,0.536140350877193,0,0.532105263157895,0.465789473684211,0.488947368421053,0.446666666666667,0.515438596491228,0.387894736842105,0.470526315789474,0.522280701754386,0.505964912280702,0.461052631578947,0.558070175438596,0.401754385964912,0.461929824561404,0.451929824561404,0.638245614035088,0.797543859649123,0.445789473684211,0.520526315789474,0.438771929824561,0.537719298245614,0.434210526315789,0.427719298245614,0.424210526315789,0.447719298245614,0.537017543859649,0.556842105263158,0.523333333333333,0.496491228070175,0.439298245614035,0.479824561403509,0.526491228070175,0.477368421052632,0.653508771929825,0.422631578947368,0.48280701754386,0.429298245614035,0.436842105263158,0.506491228070175,0.404561403508772,0.434912280701754,0.465964912280702,0.482280701754386,0.424210526315789,0.631052631578947,0.40719298245614,0.470701754385965,0.476842105263158,0.456842105263158,0.465263157894737,0.434035087719298,0.537543859649123,0.424736842105263,0.450526315789474,0.449473684210526,0.515614035087719,0.479649122807018,0.482456140350877,0.485438596491228,0.441228070175439,0.48140350877193,0.439298245614035,0.434035087719298,0.44719298245614,0.486315789473684,0.453859649122807,0.474210526315789,0.476140350877193,0.474912280701754,0.471052631578947,0.372982456140351,0.583333333333333,0.489649122807018,0.487017543859649,0.532631578947368,0.421754385964912,0.428771929824561,0.466491228070175,0.459649122807018,0.495964912280702,0.452280701754386,0.511052631578947,0.474035087719298,0.461929824561404,0.482982456140351,0.480526315789474,0.438771929824561,0.413157894736842,0.464035087719298,0.444912280701754,0.474561403508772,0.46719298245614,0.431052631578947,0.441578947368421,0.46719298245614,0.423859649122807,0.526666666666667,0.437543859649123,0.488245614035088,0.437368421052632,0.466842105263158,0.49280701754386,0.414035087719298,0.528771929824561,0.507543859649123,0.530175438596491,0.451754385964912,0.483859649122807,0.519473684210526,0.498421052631579,0.463157894736842,0.470350877192982,0.653508771929825,0.472631578947368,0.463859649122807,0.567368421052632,0.531929824561403,0.494035087719298,0.453859649122807,0.479473684210526,0.599824561403509
"R_W5_T1_157",0.430877192982456,0.474736842105263,0.428245614035088,0.418245614035088,0.424561403508772,0.532105263157895,0,0.401754385964912,0.445614035087719,0.429824561403509,0.489122807017544,0.494561403508772,0.481578947368421,0.457543859649123,0.41,0.435964912280702,0.443508771929825,0.548421052631579,0.43140350877193,0.490175438596491,0.632631578947368,0.799473684210526,0.53,0.50859649122807,0.45140350877193,0.520877192982456,0.519473684210526,0.468771929824561,0.473157894736842,0.482631578947368,0.438421052631579,0.510175438596491,0.513859649122807,0.503157894736842,0.511578947368421,0.469122807017544,0.489649122807018,0.520350877192982,0.599649122807018,0.507719298245614,0.504561403508772,0.477368421052632,0.526666666666667,0.475964912280702,0.491052631578947,0.49,0.475087719298246,0.458771929824561,0.477017543859649,0.644385964912281,0.527894736842105,0.463157894736842,0.484035087719298,0.45,0.511754385964912,0.53280701754386,0.46859649122807,0.455614035087719,0.570175438596491,0.455789473684211,0.539298245614035,0.470350877192982,0.489649122807018,0.596491228070175,0.592105263157895,0.586491228070175,0.579824561403509,0.585263157894737,0.534912280701754,0.564912280701754,0.498245614035088,0.531052631578947,0.57280701754386,0.561578947368421,0.590350877192982,0.510175438596491,0.633859649122807,0.612280701754386,0.575263157894737,0.593684210526316,0.595263157894737,0.558421052631579,0.554736842105263,0.547719298245614,0.471578947368421,0.534561403508772,0.550526315789474,0.489122807017544,0.451754385964912,0.516842105263158,0.514385964912281,0.513859649122807,0.472982456140351,0.570350877192982,0.535087719298246,0.564912280701754,0.495789473684211,0.488771929824561,0.519298245614035,0.485614035087719,0.563157894736842,0.546666666666667,0.497894736842105,0.553508771929825,0.520526315789474,0.535964912280702,0.573333333333333,0.508947368421053,0.512280701754386,0.494736842105263,0.508947368421053,0.445438596491228,0.485964912280702,0.491754385964912,0.558947368421053,0.564561403508772,0.519473684210526,0.609298245614035,0.553333333333333,0.522280701754386,0.531052631578947,0.515438596491228,0.535438596491228,0.587894736842105,0.550877192982456,0.640175438596491
"R_W5_T1_181",0.413684210526316,0.43,0.418947368421053,0.376491228070175,0.424736842105263,0.465789473684211,0.401754385964912,0,0.415789473684211,0.41859649122807,0.445964912280702,0.438771929824561,0.444736842105263,0.422280701754386,0.404035087719298,0.399298245614035,0.450701754385965,0.509298245614035,0.420701754385965,0.387017543859649,0.647543859649123,0.78280701754386,0.476842105263158,0.504035087719298,0.403859649122807,0.501754385964912,0.478421052631579,0.438070175438596,0.432982456140351,0.45140350877193,0.435438596491228,0.513508771929825,0.516491228070175,0.486140350877193,0.444561403508772,0.462982456140351,0.476491228070175,0.474385964912281,0.608245614035088,0.474210526315789,0.469649122807018,0.431578947368421,0.484912280701754,0.47280701754386,0.422982456140351,0.425438596491228,0.459298245614035,0.449122807017544,0.447894736842105,0.616666666666667,0.455263157894737,0.439649122807018,0.462982456140351,0.418421052631579,0.474035087719298,0.466666666666667,0.454561403508772,0.45719298245614,0.545087719298246,0.430877192982456,0.530175438596491,0.43859649122807,0.484210526315789,0.565964912280702,0.545438596491228,0.528245614035088,0.513157894736842,0.542105263157895,0.485964912280702,0.505438596491228,0.466666666666667,0.508070175438596,0.522456140350877,0.517543859649123,0.545263157894737,0.447894736842105,0.624210526315789,0.570526315789474,0.529122807017544,0.581228070175439,0.536140350877193,0.51140350877193,0.500175438596491,0.498070175438596,0.421052631578947,0.48140350877193,0.550526315789474,0.424736842105263,0.425964912280702,0.478771929824561,0.481754385964912,0.47859649122807,0.433157894736842,0.516315789473684,0.466842105263158,0.526666666666667,0.422631578947368,0.462631578947368,0.44421052631579,0.446842105263158,0.475438596491228,0.497719298245614,0.480175438596491,0.535438596491228,0.507894736842105,0.495087719298246,0.539473684210526,0.464385964912281,0.487017543859649,0.504561403508772,0.510701754385965,0.428421052631579,0.46280701754386,0.480526315789474,0.519122807017544,0.517368421052632,0.479122807017544,0.604035087719298,0.527368421052632,0.46140350877193,0.533508771929825,0.500701754385965,0.525438596491228,0.530701754385965,0.513333333333333,0.590701754385965
"R_W5_T1_189",0.428771929824561,0.463508771929825,0.463333333333333,0.434736842105263,0.448070175438597,0.488947368421053,0.445614035087719,0.415789473684211,0,0.449824561403509,0.446666666666667,0.493684210526316,0.477543859649123,0.467017543859649,0.470175438596491,0.455263157894737,0.440701754385965,0.524912280701754,0.450877192982456,0.474210526315789,0.654035087719298,0.789122807017544,0.509649122807018,0.523333333333333,0.446842105263158,0.537368421052632,0.495087719298246,0.464736842105263,0.472280701754386,0.495964912280702,0.456315789473684,0.501754385964912,0.501754385964912,0.497719298245614,0.498947368421053,0.474385964912281,0.489298245614035,0.494912280701754,0.640701754385965,0.487719298245614,0.504385964912281,0.467894736842105,0.536842105263158,0.50280701754386,0.492280701754386,0.506842105263158,0.50859649122807,0.511578947368421,0.502105263157895,0.646491228070175,0.526140350877193,0.509122807017544,0.505438596491228,0.480877192982456,0.545263157894737,0.546315789473684,0.508421052631579,0.482982456140351,0.568947368421053,0.478245614035088,0.54140350877193,0.473333333333333,0.50280701754386,0.579473684210526,0.57280701754386,0.564385964912281,0.567017543859649,0.55859649122807,0.515087719298246,0.550701754385965,0.477017543859649,0.515263157894737,0.571578947368421,0.554561403508772,0.566842105263158,0.503684210526316,0.634385964912281,0.578771929824561,0.573157894736842,0.59421052631579,0.550877192982456,0.565789473684211,0.565438596491228,0.539473684210526,0.501929824561404,0.515789473684211,0.563859649122807,0.482280701754386,0.487719298245614,0.519298245614035,0.499824561403509,0.483684210526316,0.468245614035088,0.555263157894737,0.517017543859649,0.575438596491228,0.514736842105263,0.486140350877193,0.515964912280702,0.489824561403509,0.525964912280702,0.575438596491228,0.507543859649123,0.55140350877193,0.525614035087719,0.524035087719298,0.561929824561404,0.484210526315789,0.51859649122807,0.510350877192982,0.514035087719298,0.450877192982456,0.475087719298246,0.482982456140351,0.544736842105263,0.558245614035088,0.530877192982456,0.608070175438597,0.556666666666667,0.52859649122807,0.533508771929825,0.526842105263158,0.55140350877193,0.550701754385965,0.532982456140351,0.634912280701754
"R_W5_T1_150",0.45,0.408771929824561,0.456666666666667,0.413859649122807,0.422456140350877,0.446666666666667,0.429824561403509,0.41859649122807,0.449824561403509,0,0.460350877192982,0.448245614035088,0.371228070175439,0.409122807017544,0.437017543859649,0.43,0.445964912280702,0.474210526315789,0.378421052631579,0.416842105263158,0.622105263157895,0.784912280701754,0.476491228070175,0.526140350877193,0.454912280701754,0.528070175438596,0.496140350877193,0.42280701754386,0.451578947368421,0.479824561403509,0.471754385964912,0.53140350877193,0.519298245614035,0.486315789473684,0.474561403508772,0.481754385964912,0.49859649122807,0.502456140350877,0.619298245614035,0.475964912280702,0.505614035087719,0.433508771929825,0.481228070175439,0.451578947368421,0.434912280701754,0.435614035087719,0.460526315789474,0.445263157894737,0.435087719298246,0.627719298245614,0.499649122807018,0.449649122807018,0.462280701754386,0.445087719298246,0.466491228070175,0.500877192982456,0.460526315789474,0.424561403508772,0.531228070175439,0.430877192982456,0.520701754385965,0.43280701754386,0.479824561403509,0.547017543859649,0.525263157894737,0.551228070175439,0.526140350877193,0.527017543859649,0.501052631578947,0.542105263157895,0.461228070175439,0.532280701754386,0.518947368421053,0.534912280701754,0.537719298245614,0.436842105263158,0.608421052631579,0.573157894736842,0.558421052631579,0.580175438596491,0.505964912280702,0.507543859649123,0.547719298245614,0.508771929824561,0.477017543859649,0.47719298245614,0.527719298245614,0.458421052631579,0.477017543859649,0.503157894736842,0.457719298245614,0.495614035087719,0.44,0.535438596491228,0.484210526315789,0.514035087719298,0.45140350877193,0.452982456140351,0.487017543859649,0.480175438596491,0.471929824561404,0.548070175438596,0.460526315789474,0.507894736842105,0.473333333333333,0.503684210526316,0.558070175438596,0.462982456140351,0.543859649122807,0.523333333333333,0.524736842105263,0.42719298245614,0.493684210526316,0.495087719298246,0.544736842105263,0.535087719298246,0.525263157894737,0.612982456140351,0.517017543859649,0.509122807017544,0.560877192982456,0.532982456140351,0.531052631578947,0.555438596491228,0.526315789473684,0.625964912280702
