ID,Distance,Variety,Treatment,Management
R_W5_T2_147,0.778070175,ATOL,2,Biological
R_W5_T2_173,0.460350877,ATOL,2,Biological
R_W5_T2_196,0.489298246,ATOL,2,Biological
R_W5_T2_190,0.424561404,DESIREE,2,Biological
R_W5_T2_197,0.505438596,DESIREE,2,Biological
R_W5_T2_200,0.460877193,DESIREE,2,Biological
R_W5_T2_146,0.407894737,JELLY,2,Biological
R_W5_T2_171,0.43245614,JELLY,2,Biological
R_W5_T2_192,0.460175439,JELLY,2,Biological
R_W5_T2_193,0.454736842,KRAB,2,Biological
R_W5_T2_198,0.498070175,KRAB,2,Biological
R_W5_T2_203,0.467719298,KRAB,2,Biological
R_W5_T2_142,0.470175439,PASJA_POMORSKA,2,Biological
R_W5_T2_164,0.450526316,PASJA_POMORSKA,2,Biological
R_W5_T2_191,0.444561404,PASJA_POMORSKA,2,Biological
R_W5_T2_143,0.454035088,RUDAWA,2,Biological
R_W5_T2_170,0.472982456,RUDAWA,2,Biological
R_W5_T2_172,0.597368421,RUDAWA,2,Biological
R_W5_T2_145,0.437894737,SALTO,2,Biological
R_W5_T2_169,0.446140351,SALTO,2,Biological
R_W5_T2_175,0.412982456,SALTO,2,Biological
R_W5_T3_77,0.468245614,ATOL,3,Biological
R_W5_T3_125,0.468070175,ATOL,3,Biological
R_W5_T3_132,0.461052632,ATOL,3,Biological
R_W5_T3_74,0.451052632,DESIREE,3,Biological
R_W5_T3_92,0.484385965,DESIREE,3,Biological
R_W5_T3_103,0.443859649,DESIREE,3,Biological
R_W5_T3_71,0.451052632,JELLY,3,Biological
R_W5_T3_130,0.65877193,JELLY,3,Biological
R_W5_T3_133,0.472105263,JELLY,3,Biological
R_W5_T3_76,0.449298246,KRAB,3,Biological
R_W5_T3_124,0.451403509,KRAB,3,Biological
R_W5_T3_128,0.440175439,KRAB,3,Biological
R_W5_T3_98,0.486666667,PASJA_POMORSKA,3,Biological
R_W5_T3_101,0.487894737,PASJA_POMORSKA,3,Biological
R_W5_T3_121,0.501403509,PASJA_POMORSKA,3,Biological
R_W5_T3_72,0.427719298,RUDAWA,3,Biological
R_W5_T3_94,0.528947368,RUDAWA,3,Biological
R_W5_T3_129,0.446140351,RUDAWA,3,Biological
R_W5_T3_100,0.50122807,SALTO,3,Biological
R_W5_T3_104,0.436315789,SALTO,3,Biological
R_W5_T3_122,0.427719298,SALTO,3,Biological
R_W5_T4_87,0.524035088,ATOL,4,Chemical
R_W5_T4_91,0.525438596,ATOL,4,Chemical
R_W5_T4_139,0.522982456,ATOL,4,Chemical
R_W5_T4_81,0.508245614,DESIREE,4,Chemical
R_W5_T4_107,0.517192982,DESIREE,4,Chemical
R_W5_T4_115,0.495087719,DESIREE,4,Chemical
R_W5_T4_118,0.510877193,JELLY,4,Chemical
R_W5_T4_136,0.464385965,JELLY,4,Chemical
R_W5_T4_140,0.506315789,JELLY,4,Chemical
R_W5_T4_90,0.508947368,KRAB,4,Chemical
R_W5_T4_114,0.496666667,KRAB,4,Chemical
R_W5_T4_116,0.52245614,KRAB,4,Chemical
R_W5_T4_78,0.457894737,PASJA_POMORSKA,4,Chemical
R_W5_T4_109,0.588947368,PASJA_POMORSKA,4,Chemical
R_W5_T4_110,0.530701754,PASJA_POMORSKA,4,Chemical
R_W5_T4_85,0.507017544,RUDAWA,4,Chemical
R_W5_T4_113,0.527368421,RUDAWA,4,Chemical
R_W5_T4_134,0.523859649,RUDAWA,4,Chemical
R_W5_T4_79,0.514561404,SALTO,4,Chemical
R_W5_T4_84,0.523157895,SALTO,4,Chemical
R_W5_T4_137,0.48754386,SALTO,4,Chemical
R_W5_T5_11,0.450877193,ATOL,5,Chemical
R_W5_T5_13,0.467017544,ATOL,5,Chemical
R_W5_T5_69,0.505964912,ATOL,5,Chemical
R_W5_T5_10,0.456491228,DESIREE,5,Chemical
R_W5_T5_12,0.440526316,DESIREE,5,Chemical
R_W5_T5_48,0.470701754,DESIREE,5,Chemical
R_W5_T5_19,0.46,JELLY,5,Chemical
R_W5_T5_21,0.457719298,JELLY,5,Chemical
R_W5_T5_45,0.437894737,JELLY,5,Chemical
R_W5_T5_18,0.508596491,KRAB,5,Chemical
R_W5_T5_41,0.470526316,KRAB,5,Chemical
R_W5_T5_68,0.524561404,KRAB,5,Chemical
R_W5_T5_14,0.456666667,PASJA_POMORSKA,5,Chemical
R_W5_T5_37,0.449473684,PASJA_POMORSKA,5,Chemical
R_W5_T5_39,0.458421053,PASJA_POMORSKA,5,Chemical
R_W5_T5_15,0.441052632,RUDAWA,5,Chemical
R_W5_T5_20,0.481403509,RUDAWA,5,Chemical
R_W5_T5_49,0.525263158,RUDAWA,5,Chemical
R_W5_T5_43,0.468421053,SALTO,5,Chemical
R_W5_T5_46,0.505438596,SALTO,5,Chemical
R_W5_T5_65,0.488947368,SALTO,5,Chemical
R_W5_T6_1,0.478947368,ATOL,6,Chemical
R_W5_T6_29,0.505087719,ATOL,6,Chemical
R_W5_T6_35,0.44,ATOL,6,Chemical
