ID,Distance,Variety
1,0.434561404,ATOL
2,0.418947368,ATOL
3,0.778070175,ATOL
4,0.460350877,ATOL
5,0.489298246,ATOL
6,0.468245614,ATOL
7,0.468070175,ATOL
8,0.461052632,ATOL
9,0.524035088,ATOL
10,0.525438596,ATOL
11,0.522982456,ATOL
12,0.450877193,ATOL
13,0.467017544,ATOL
14,0.505964912,ATOL
15,0.478947368,ATOL
16,0.505087719,ATOL
17,0.44,ATOL
18,0.480526316,ATOL
19,0.781403509,ATOL
20,0.421578947,ATOL
21,0.487368421,ATOL
22,0.465614035,ATOL
23,0.486491228,ATOL
24,0.452807018,ATOL
25,0.530526316,ATOL
26,0.509649123,ATOL
27,0.489473684,ATOL
28,0.452105263,ATOL
29,0.445263158,ATOL
30,0.505263158,ATOL
31,0.476491228,ATOL
32,0.486140351,ATOL
33,0.436315789,ATOL
34,0.774736842,ATOL
35,0.503859649,ATOL
36,0.473157895,ATOL
37,0.486315789,ATOL
38,0.454035088,ATOL
39,0.441578947,ATOL
40,0.540526316,ATOL
41,0.520701754,ATOL
42,0.54245614,ATOL
43,0.432280702,ATOL
44,0.505087719,ATOL
45,0.520175439,ATOL
46,0.500701754,ATOL
47,0.505263158,ATOL
48,0.486315789,ATOL
49,0.769824561,ATOL
50,0.794035088,ATOL
51,0.79,ATOL
52,0.782280702,ATOL
53,0.779649123,ATOL
54,0.789649123,ATOL
55,0.813684211,ATOL
56,0.784561404,ATOL
57,0.782105263,ATOL
58,0.806315789,ATOL
59,0.748596491,ATOL
60,0.795614035,ATOL
61,0.810877193,ATOL
62,0.792280702,ATOL
63,0.494035088,ATOL
64,0.427894737,ATOL
65,0.496315789,ATOL
66,0.451403509,ATOL
67,0.503508772,ATOL
68,0.506140351,ATOL
69,0.455263158,ATOL
70,0.481754386,ATOL
71,0.435614035,ATOL
72,0.501929825,ATOL
73,0.463684211,ATOL
74,0.49245614,ATOL
75,0.428245614,ATOL
76,0.485263158,ATOL
77,0.506140351,ATOL
78,0.497017544,ATOL
79,0.511754386,ATOL
80,0.55754386,ATOL
81,0.524736842,ATOL
82,0.434736842,ATOL
83,0.507894737,ATOL
84,0.490175439,ATOL
85,0.490877193,ATOL
86,0.503333333,ATOL
87,0.463508772,ATOL
88,0.486491228,ATOL
89,0.408421053,ATOL
90,0.476842105,ATOL
91,0.435789474,ATOL
92,0.444035088,ATOL
93,0.461929825,ATOL
94,0.453508772,ATOL
95,0.482807018,ATOL
96,0.46877193,ATOL
97,0.46122807,ATOL
98,0.408245614,ATOL
99,0.421578947,ATOL
100,0.507192982,ATOL
101,0.513684211,ATOL
102,0.538947368,ATOL
103,0.480877193,ATOL
104,0.497368421,ATOL
105,0.500877193,ATOL
106,0.492105263,ATOL
107,0.555789474,ATOL
108,0.492105263,ATOL
109,0.459824561,ATOL
110,0.435614035,ATOL
111,0.491578947,ATOL
112,0.445263158,ATOL
113,0.452982456,ATOL
114,0.507368421,ATOL
115,0.446666667,ATOL
116,0.501754386,ATOL
117,0.438947368,ATOL
118,0.399473684,ATOL
119,0.475263158,ATOL
120,0.54754386,ATOL
121,0.510877193,ATOL
122,0.534736842,ATOL
123,0.454561404,ATOL
