Family,degree_old,order,Node,Taxa,degree
O_Sordariales,17.99567132,57,OTU3311,fungi,1
O_Hypocreales_S1,23.12866525,63,496ecde24f9ab698992413d3d4f04b5f,bacteria,1
Aspergillaceae_S1,28.26048976,65,16a7d8ffc6f02f49aeadebb5f9a85829,bacteria,1
Mortierellaceae_S9,51.49212525,27,OTU2163,fungi,1
O_Pleosporales,54.38237994,51,OTU4291,fungi,1
P_Ascomycota_S1,56.52693357,75,OTU1364,fungi,1
IMCC26256,83.62868624,50,OTU3077,fungi,1
Nocardiaceae,84.12005436,49,7a226f6b64f3dab64ef56a7f2be39688,bacteria,1
Mortierellaceae_S5,87.51273821,33,OTU114,fungi,1
Chaetomiaceae_S5,97.80248906,36,04034062627bf09942993aa36958768c,bacteria,1
P_Ascomycota_S2,113.1038186,56,b2f07d4762ea6c81d710ef86769ab101,bacteria,1
Chaetomiaceae_S3,118.2931833,35,a04d1b09e30786e192237094dd948ba2,bacteria,1
Chaetomiaceae_S6,120.7121902,69,ab7042eb1fbe1e0e0a7dc5eedd523a35,bacteria,1
Gemmatimonadaceae_S3,140.4550682,89,OTU723,fungi,1
Entolomataceae,164.6431665,54,OTU4308,fungi,1
Xanthobacteraceae_S2,176.2141523,47,OTU3809,fungi,1
Mortierellaceae_S12,218.5334841,43,OTU2674,fungi,1
Herpotrichiellaceae_S2,231.4726067,44,OTU2997,fungi,1
Plectosphaerellaceae_S2,246.8816074,64,OTU2407,fungi,1
Acetobacteraceae,248.4231767,77,OTU2988,fungi,1
Herpotrichiellaceae_S1,303.3173985,9,84a29877f28a3309c0acba3ff63a32de,bacteria,1
Arachnomycetaceae,354.1875311,98,4531ba56c181f3c4e53e7655f31690a6,bacteria,1
O_Monoblepharidales,364.8624103,21,40c9fd01a4fb965886c9a294647b15b3,bacteria,1
O_Rhizobiales,521.5362115,97,OTU2604,fungi,1
Ascodesmidaceae_S1,660.5951041,38,1dc3a7cd36625f81a603740de6b3160b,bacteria,1
Comamonadaceae,744.1577561,48,ba962cd70d2a6983652b9a5fea2de9aa,bacteria,1
Mortierellaceae_S3,746.3371062,32,OTU3189,fungi,1
Mortierellaceae_S8,768.6570585,53,bb58a838f46f8a53440dac789d0e6eb5,bacteria,1
Mortierellaceae_S6,1016.002823,20,OTU581,fungi,1
Microbacteriaceae,1068.016951,113,OTU3048,fungi,1
C_Holophagae_S1,1116.903555,19,702af9e944edfd5a1a7f0dce0d566376,bacteria,1
Chaetomiaceae_S1,1224.46929,39,445a599987dab8504cff55cec35742dc,bacteria,1
O_Acidobacteriales_S4,1279.037759,108,ceaa6c6f5cf645165d028b4a77e5a097,bacteria,1
Mortierellaceae_S14,1281.543528,101,OTU1900,fungi,1
C_Acidobacteriae_S1,1384.673091,93,OTU1482,fungi,1
Plectosphaerellaceae_S1,1645.477624,26,2b873ac28240e096f5d2c915896e4547,bacteria,1
Pseudeurotiaceae_S1,1851.024789,99,OTU3251,fungi,1
Gemmatimonadaceae_S1,1917.785815,18,1c7649cf7a4eae57c49439f143a8bed4,bacteria,1
Mortierellaceae_S15,2066.033821,115,OTU2951,fungi,1
Mortierellaceae_S2,3061.709935,41,OTU3868,fungi,1
O_Acidobacteriales_S2,3156.332657,96,5e41b6f8f77a1f4b5542127147676fbb,bacteria,1
O_Gammaproteobacteria_Incertae_Sedis,3296.211808,111,2573d88484d9b2979456e4a5accbabc6,bacteria,1
O_Acidobacteriales_S1,4770.018044,52,OTU4198,fungi,1
Xanthobacteraceae_S1,5586.385314,68,08bdc6c81f6b9daab3d132b54e1d45bc,bacteria,1
SC-I-84,8288.153604,4,OTU2508,fungi,1
Chthoniobacteraceae_S3,12240.74988,85,OTU651,fungi,1
