Family,node,degree_old,order,Taxa,degree
Sericytochromatia,07ae50b2f151b6f85b7adb97a4064fd8,179.3532178,22,Bacteria,1
Holophagaceae,08a70cdeb10f1fc740c8461eadcf452a,570.3105472,59,Bacteria,1
Oxalobacteraceae_S1,0a4c8bffc9aac53bd22ac6dd2c468c44,367.3285818,17,Bacteria,2
O_Acidobacteriales_S2,1c291466057260266d13db2efa0a99d7,250.0745777,35,Bacteria,2
O_Gaiellales_S1,1c7649cf7a4eae57c49439f143a8bed4,1923.066099,6,Bacteria,4
Sumerlaeaceae,21b6836293274a40328577979391fd8a,37.81097077,23,Bacteria,2
Acidothermaceae,233f74db7a5fd1446f2c0eb224121e80,260.9778371,18,Bacteria,1
Chitinophagaceae_S3,3120db539a952012960591f455b7cca5,975.6096851,20,Bacteria,4
Tepidisphaeraceae,3149a06772a8cdf29cc62410ddf3fbb8,128.9836495,30,Bacteria,1
C_Holophagae_S1,3bf4e18661a6e9a1c2547d9c6c2cbd95,111.6792213,16,Bacteria,1
Acetobacteraceae,404e3a630a44e4f67a335ea1515b26bc,151.2185841,41,Bacteria,1
Anaerolineaceae,41f205eab60ecb7fdbf8841ba52ad69e,214.1990012,28,Bacteria,1
Rhodanobacteraceae_S2,4e65cf6f57d9615d917c5dfb8940d0d0,503.4105836,58,Bacteria,3
Caulobacteraceae_S1,5688bd1aaa23a37be68e1409265ff763,112.7265258,13,Bacteria,2
Chitinophagaceae_S4,6286dcbbb0545902ab7e23c013f01f37,506.7748723,65,Bacteria,1
Acidobacteriaceae_S1,62bf0cdffc0087ef0327fabd728c81b2,182.853681,2,Bacteria,3
O_Gaiellales_S2,636ed1874cc1df7070c3939d907ccf4e,3420.199749,7,Bacteria,2
C_Holophagae_S2,64065716ed1572ed3c9c590847f2ca6c,1697.192004,68,Bacteria,1
O_Elsterales,64b14057bec0fe0d9c31f79d8882ecad,206.4582371,34,Bacteria,1
C_Holophagae_S3,65936ae1dd61716cef623e06fa3ca479,532.8202627,19,Bacteria,1
Acidobacteriaceae_S2,665ea79cf6586397c5929dfb8ce6402a,283.7606623,21,Bacteria,2
O_Solirubrobacterales,6727bb2c91a7a6b0489e814af3bb9cbc,313.5043675,9,Bacteria,1
Flavobacteriaceae,68262884f1021c896f8e1bf7348d773c,1908.21434,56,Bacteria,1
Oxalobacteraceae_S2,687cdda982ab120abe72c6a01d4b3cd7,574.466569,14,Bacteria,1
Comamonadaceae,6abc517aa40e9e7b9c652902fe04bb1a,2177.405302,63,Bacteria,1
Caulobacteraceae_S2,79029fa983ec4eda60117a273a52cfc0,1411.076046,64,Bacteria,1
Gaiellaceae,79c33a8d5b71c431c2fde2157c655b3e,5351.378197,51,Bacteria,4
C_Holophagae_S4,83a543bbbdf4c116b9f26adff279deaa,1412.029756,62,Bacteria,1
Vicinamibacteraceae,8af9b72c1b3847562719d980e6cab6ef,378.8729569,24,Bacteria,1
Methyloligellaceae,b0ebdf9f704e16d2b2ed8884919d5821,302.4111278,8,Bacteria,1
Chthoniobacteraceae,b2d6dbe711753dbd99dbbdc82c68d07a,514.1453456,38,Bacteria,1
