,Treatment,[Aquaspirillum]_arcticum_group,Abditibacterium,Acidibacter,Arenimonas,Bacillus,Bryobacter,Candidatus_Solibacter,Chthoniobacter,Dokdonella,Duganella,Dyella,Fimbriimonadaceae,Flavitalea,Flavobacterium,Fluviicola,Gemmatimonas,Granulicella,Hephaestia,Latescibacterota,Longimicrobiaceae,Luteolibacter,Massilia,Niastella,Nitrosospira,Occallatibacter,Paenibacillus,Parafilimonas,Phycisphaera,Porphyrobacter,Pseudoflavitalea,Pseudomonas,Rhizobacter,Rhodopseudomonas,Rokubacteriales,Romboutsia,Sphingomonas,Terriglobus,Terrimonas,Vicinamibacteraceae
R_W5_T1_160,T1,0,3,37,27,39,53,0,12,41,27,0,31,0,69,0,49,3,9,29,0,0,163,24,0,0,27,26,0,35,8,21,0,10,33,12,141,0,28,36
R_W5_T1_177,T1,0,0,48,32,49,33,41,8,49,20,14,19,0,62,0,82,0,0,19,0,10,108,16,0,0,14,12,2,32,5,122,0,8,30,11,174,0,3,7
R_W5_T1_183,T1,0,1,45,53,37,26,43,12,61,36,0,13,0,59,2,97,0,0,28,0,0,254,40,0,0,21,26,0,18,12,23,7,7,25,5,133,0,15,23
R_W5_T2_147,T2,0,0,3,10,0,21,10,0,19,12,0,2,0,1820,0,23,0,0,6,0,5,39,0,0,0,7,8,0,16,0,1793,0,2,9,3,68,0,0,9
R_W5_T2_173,T2,0,0,46,17,0,66,17,6,39,23,0,12,0,32,0,101,0,0,19,1,0,125,4,11,0,21,17,0,26,4,224,0,28,29,5,168,0,8,17
R_W5_T2_196,T2,0,1,25,39,44,49,48,34,46,37,0,22,7,67,0,39,0,0,8,0,11,235,38,15,0,60,29,0,30,4,91,14,0,13,10,235,0,0,2
R_W5_T3_77,T3,0,0,36,11,29,52,54,18,25,17,0,10,9,19,1,80,7,0,5,0,0,451,6,4,0,30,32,0,29,0,23,0,10,25,9,201,0,2,29
R_W5_T3_125,T3,0,0,37,23,49,81,29,20,45,31,0,15,0,40,0,55,0,0,17,0,11,128,24,7,6,12,35,0,24,0,43,0,6,35,7,124,0,17,0
R_W5_T3_132,T3,0,0,28,9,25,50,42,6,25,9,0,22,3,20,0,64,0,0,16,0,9,140,8,10,5,28,28,0,25,0,13,10,7,29,6,167,0,0,23
R_W5_T4_87,T4,13,7,31,9,41,96,34,2,26,0,21,22,0,15,16,106,9,22,3,4,6,247,0,11,0,66,44,0,47,0,150,0,13,8,8,281,0,0,0
R_W5_T4_91,T4,0,6,20,0,38,77,55,4,37,0,33,17,0,0,0,66,0,23,5,4,0,454,0,20,0,37,36,0,51,0,162,0,15,22,6,297,9,0,5
