,Treatment,Acremonium,Alternaria,Apiotrichum,Ascobolus,Cephaliophora,Cephalotrichum,Cheilymenia,Chlamydocillium,Chordomyces,Colletotrichum,Gymnoascus,Holtermanniella,Hyaloscypha,Hygrophoropsis,Hymenoscyphus,Itersonilia,Kernia,Melanocarpus,Metapochonia,Ophiosphaerella,Saitozyma,Solicoccozyma,Thelebolus,Thermomyces,Tolypocladium,Trichoderma,Vishniacozyma
R_W5_T1_150,T1,7,0,184,30,11,2,21,15,7,24,2,17,68,4,0,0,0,8,4,5,31,744,1105,0,1,17,0
R_W5_T1_151,T1,8,0,254,25,16,3,6,25,13,20,1,38,44,3,0,2,1,3,2,1,24,779,1136,0,1,19,0
R_W5_T1_152,T1,5,1,231,20,12,1,9,15,10,48,1,27,60,2,0,2,0,9,1,13,20,695,1001,0,1,15,0
R_W5_T1_154,T1,4,0,187,3,5,4,3,11,11,7,0,20,18,0,0,3,1,4,2,8,15,605,988,0,2,959,0
R_W5_T1_160,T1,7,0,215,11,6,6,0,5,20,48,0,25,52,6,3,3,0,15,2,6,10,705,884,0,1,16,0
R_W5_T1_176,T1,8,0,248,10,5,1,10,1,24,24,0,15,93,5,2,0,5,24,0,6,17,701,988,5,0,34,1
R_W5_T1_178,T1,8,1,189,14,13,1,5,4,21,23,3,43,53,3,0,4,2,21,1,2,18,622,989,0,1,7,0
R_W5_T1_179,T1,7,1,176,7,20,3,0,5,13,41,0,27,56,5,0,0,5,16,4,9,27,575,1002,4,0,19,2
R_W5_T1_181,T1,3,1,221,12,16,9,3,3,23,17,0,23,61,0,2,1,1,215,1,7,16,626,805,0,0,13,0
R_W5_T1_182,T1,3,2,247,16,7,1,10,4,29,40,2,25,46,0,8,4,0,11,2,6,8,726,982,2,0,8,0
R_W5_T1_185,T1,4,0,252,11,6,1,26,4,30,36,0,48,77,6,0,5,4,20,3,4,24,745,845,1,1,21,0
R_W5_T1_187,T1,12,0,179,13,0,3,30,13,10,141,4,19,38,5,0,0,23,151,1,8,13,624,862,19,0,18,0
R_W5_T1_206,T1,0,0,165,25,0,3,43,2,3,33,0,29,51,6,0,2,16,19,3,1,22,908,1143,1,1,6,5
R_W5_T1_208,T1,3,0,153,18,2,4,64,7,11,29,0,13,34,2,0,1,0,16,6,2,10,693,830,0,1,10,0
R_W5_T1_209,T1,6,0,218,17,3,1,10,6,5,12,2,34,44,2,1,4,1,12,2,8,14,811,1044,1,0,16,1
R_W5_T1_210,T1,10,1,206,24,4,0,35,3,5,49,0,31,44,0,0,0,2,9,1,2,23,760,949,0,0,10,1
R_W5_T2_142,T2,3,2,269,26,16,1,4,0,5,15,5,33,41,5,0,17,4,11,6,4,15,657,836,0,6,19,10
R_W5_T2_143,T2,13,0,221,4,8,1,3,4,5,25,3,21,46,4,1,9,3,27,1,5,11,509,742,3,16,10,1
R_W5_T2_145,T2,4,2,364,14,8,2,0,12,13,33,1,29,33,3,1,5,3,12,0,6,28,814,1109,2,1,10,1
R_W5_T2_146,T2,4,1,267,36,11,0,7,12,13,39,0,28,51,7,1,0,3,19,2,3,20,721,858,0,2,14,7
R_W5_T2_147,T2,8,0,282,23,7,0,17,7,5,11,0,29,33,11,0,3,8,17,2,8,12,816,941,0,0,17,0
R_W5_T2_164,T2,14,0,264,19,21,3,1,7,14,29,1,12,19,4,2,0,6,10,1,4,13,746,995,0,2,12,2
R_W5_T2_169,T2,8,0,291,20,25,0,0,1,17,56,0,38,53,1,0,3,9,12,2,9,16,606,854,0,0,18,0
R_W5_T2_170,T2,2,1,186,23,21,0,5,0,11,14,0,16,39,5,2,0,4,16,2,8,8,556,686,1,4,11,0
R_W5_T2_171,T2,4,1,290,25,21,0,4,0,14,72,0,33,32,1,1,0,2,33,2,3,9,849,1079,2,4,10,0
R_W5_T2_173,T2,4,0,239,40,16,1,21,11,9,19,0,25,33,2,8,2,3,32,1,12,12,744,1001,1,0,8,1
R_W5_T2_175,T2,8,0,260,16,17,1,10,2,9,18,1,25,60,8,0,1,6,28,2,2,16,570,961,0,1,16,3
R_W5_T2_190,T2,7,0,221,12,0,3,9,7,10,14,1,34,101,2,0,1,8,16,6,2,18,639,765,0,1,7,15
R_W5_T2_191,T2,10,0,316,15,18,1,12,1,18,46,1,20,55,10,1,9,7,18,0,1,22,670,811,1,1,11,4
R_W5_T2_192,T2,7,0,257,12,13,3,40,3,8,48,1,34,32,11,0,27,3,11,1,4,20,554,796,0,2,12,7
R_W5_T2_193,T2,6,1,239,11,13,0,24,0,12,30,1,25,52,1,2,0,13,16,1,10,20,517,672,3,4,10,5
R_W5_T2_196,T2,5,1,335,7,18,0,5,0,7,75,6,25,34,4,0,1,3,22,3,7,11,597,772,1,3,8,2
R_W5_T2_197,T2,9,1,254,16,8,0,5,0,7,18,0,26,53,3,1,0,5,30,0,10,9,585,835,0,3,7,4
R_W5_T2_198,T2,3,0,197,12,15,0,10,0,7,5,0,28,39,2,11,0,27,87,1,4,14,525,750,1,1,6,2
R_W5_T2_200,T2,4,2,155,23,3,0,26,4,8,24,1,16,32,6,0,2,1,7,2,8,27,602,794,2,1,3,2
R_W5_T2_203,T2,4,0,146,2,4,0,11,0,21,11,0,37,70,3,2,2,5,23,0,6,22,637,924,2,0,15,4
R_W5_T3_100,T3,15,1,254,9,0,1,0,1,7,49,2,26,22,2,0,1,0,2,4,5,14,749,1007,0,2,19,0
R_W5_T3_101,T3,10,0,243,16,1,0,2,2,11,52,0,21,42,1,3,2,1,3,0,2,34,798,1179,0,0,12,4
R_W5_T3_103,T3,8,0,219,10,2,4,3,9,12,24,8,24,67,1,1,0,0,2,2,4,24,808,987,0,2,13,1
R_W5_T3_104,T3,9,3,210,17,1,2,3,9,6,20,4,19,30,2,0,0,2,3,1,0,11,720,1028,1,1,23,1
R_W5_T3_121,T3,7,0,230,15,1,1,0,7,6,10,4,24,27,0,0,0,3,2,0,7,31,872,1291,0,1,26,0
R_W5_T3_122,T3,25,12,206,5,0,1,3,1,8,20,3,20,25,1,0,1,2,1,2,4,17,728,1180,0,0,42,5
R_W5_T3_124,T3,19,0,286,13,3,2,8,1,11,28,7,44,22,2,2,0,2,3,0,3,26,901,1200,0,0,45,1
R_W5_T3_125,T3,17,1,254,16,3,0,1,14,6,4,3,20,32,0,1,0,1,4,3,5,22,792,1106,0,1,14,1
R_W5_T3_128,T3,6,0,180,1,2,5,8,6,5,36,2,17,37,1,0,0,0,7,0,4,21,642,1100,1,1,11,2
R_W5_T3_129,T3,16,0,254,11,0,1,4,1,4,25,5,37,71,1,0,1,0,7,3,0,20,807,1122,1,0,19,3
R_W5_T3_130,T3,19,0,153,29,1,1,12,9,2,53,1,7,48,1,0,0,1,7,1,3,22,649,1014,0,0,8,0
R_W5_T3_132,T3,8,5,144,11,3,2,23,7,7,30,3,20,57,0,2,0,1,7,3,6,21,709,1144,0,0,15,1
R_W5_T3_133,T3,4,0,154,16,3,1,5,7,7,19,16,27,27,2,0,0,0,6,1,1,17,697,1010,0,0,7,3
R_W5_T3_72,T3,11,1,217,8,0,0,3,0,5,33,4,17,29,2,0,3,1,4,3,3,21,885,1177,0,2,24,3
R_W5_T3_74,T3,15,0,205,6,0,1,1,0,2,6,3,11,46,3,0,0,0,0,3,1,19,687,965,0,1,7,0
R_W5_T3_76,T3,21,0,455,14,2,0,1,0,6,16,7,26,30,2,0,0,0,0,4,1,34,1076,1132,0,3,20,0
R_W5_T3_77,T3,23,4,264,21,0,1,3,0,2,179,12,32,23,5,0,1,0,1,0,12,36,1056,1036,0,1,15,3
R_W5_T3_92,T3,14,1,288,2,3,1,0,0,3,12,0,20,21,2,1,0,1,2,0,3,9,971,1154,0,1,45,5
R_W5_T3_94,T3,16,1,315,11,3,0,2,0,7,37,26,43,24,1,0,1,2,6,0,2,21,919,1147,0,0,7,5
R_W5_T3_98,T3,14,0,232,18,0,0,6,6,4,9,2,31,27,1,3,11,1,1,0,1,33,905,1076,0,0,32,0
R_W5_T4_107,T4,7,0,210,11,1,0,0,9,19,13,3,17,20,0,0,0,4,7,6,4,24,625,965,0,0,71,0
R_W5_T4_109,T4,8,1,172,3,1,8,10,15,1,13,4,18,29,1,0,0,3,3,1,3,30,628,907,0,1,9,0
R_W5_T4_110,T4,8,6,114,13,1,4,10,8,2,15,1,15,20,0,0,0,2,2,3,1,20,594,862,1,0,41,0
R_W5_T4_113,T4,13,2,140,17,1,2,0,3,5,17,3,16,22,0,0,0,1,2,1,0,6,539,915,0,4,511,4
R_W5_T4_114,T4,16,0,148,5,3,0,1,4,6,18,1,8,7,0,0,0,1,7,1,4,9,435,599,0,0,11,0
R_W5_T4_115,T4,8,1,136,4,1,3,4,18,3,5,3,22,34,0,0,0,11,4,2,5,5,631,1090,0,0,33,1
R_W5_T4_116,T4,10,3,118,4,0,4,0,11,10,11,0,10,21,0,1,1,19,5,3,0,9,568,910,0,0,21,4
R_W5_T4_118,T4,12,1,142,5,2,0,4,9,3,9,1,25,18,1,0,2,2,5,3,0,21,661,1176,0,2,21,4
R_W5_T4_134,T4,13,1,258,16,0,0,3,19,5,25,0,34,15,1,0,0,3,6,9,6,34,744,1031,0,0,38,1
R_W5_T4_136,T4,6,0,158,20,2,1,6,15,8,111,2,19,77,8,0,0,1,13,2,7,25,611,1091,0,0,15,0
R_W5_T4_137,T4,8,0,205,11,3,2,5,10,5,8,2,18,29,6,0,0,9,3,1,2,18,658,894,1,0,17,2
R_W5_T4_139,T4,7,1,146,2,2,0,4,10,6,60,16,19,15,1,0,1,5,12,3,6,18,551,814,1,2,19,2
R_W5_T4_140,T4,12,2,284,13,8,0,0,3,12,9,4,29,18,0,0,2,4,5,2,6,15,589,812,3,4,7,2
R_W5_T4_78,T4,18,2,149,13,2,0,0,4,7,13,7,11,25,4,0,1,0,1,2,4,24,754,915,0,0,3,1
R_W5_T4_79,T4,19,0,149,6,2,0,2,1,3,14,8,17,29,1,0,0,2,4,3,0,21,959,1074,1,1,12,1
R_W5_T4_81,T4,10,1,135,4,0,0,0,4,8,17,3,15,25,4,0,0,0,3,4,3,20,731,972,0,1,17,0
R_W5_T4_84,T4,15,3,128,8,1,0,0,2,7,61,2,15,20,0,0,1,2,13,2,1,22,867,924,0,0,14,4
R_W5_T4_85,T4,11,1,221,7,3,0,1,6,4,18,0,21,9,0,0,0,1,6,0,3,20,610,752,0,1,24,5
R_W5_T4_87,T4,24,3,215,4,0,0,5,17,3,15,0,22,18,2,0,1,2,10,2,2,33,752,1005,0,0,35,1
R_W5_T4_90,T4,11,4,204,17,0,2,1,9,5,41,5,22,17,1,0,0,1,3,24,2,19,716,864,0,1,16,0
R_W5_T4_91,T4,15,2,192,9,0,3,0,7,4,22,4,23,13,1,0,0,1,1,0,4,24,627,953,1,2,11,3
R_W5_T5_10,T5,14,1,326,7,3,1,5,11,7,9,10,32,60,2,2,0,2,2,2,5,9,609,804,0,3,17,0
R_W5_T5_11,T5,16,1,211,10,0,1,4,8,3,152,7,22,54,0,0,0,2,1,1,3,8,518,742,0,1,14,0
R_W5_T5_12,T5,19,0,207,0,1,2,1,6,8,13,7,18,53,1,0,0,2,2,2,4,12,498,755,0,1,16,0
R_W5_T5_13,T5,12,0,164,15,1,3,9,18,3,9,2,24,26,1,0,0,1,2,5,0,3,578,1109,0,0,23,0
R_W5_T5_14,T5,19,1,162,9,0,6,3,16,5,25,5,29,60,2,0,1,1,2,5,3,13,674,932,0,0,13,1
R_W5_T5_15,T5,14,0,164,7,0,3,0,10,4,11,2,23,17,0,0,0,0,1,2,1,9,561,1045,0,1,30,1
R_W5_T5_18,T5,19,0,200,8,1,2,3,13,3,34,7,15,19,1,0,0,2,1,3,3,7,677,926,0,1,18,3
R_W5_T5_19,T5,19,1,170,19,0,4,14,13,1,22,6,19,21,2,0,0,0,2,0,1,9,519,927,0,0,17,0
R_W5_T5_20,T5,18,1,173,17,2,3,3,18,7,13,16,18,16,0,1,0,0,2,0,5,7,688,829,0,0,9,0
R_W5_T5_21,T5,13,0,181,10,3,3,1,20,10,21,11,19,24,0,0,0,0,0,3,2,11,618,966,0,0,11,0
R_W5_T5_37,T5,9,0,122,5,1,0,1,10,2,15,3,19,44,1,0,0,1,3,2,4,11,560,892,0,0,27,0
R_W5_T5_39,T5,13,1,146,16,0,13,26,7,7,5,1,13,35,4,0,0,2,1,6,2,21,649,708,0,0,14,1
R_W5_T5_41,T5,25,2,144,10,0,2,6,10,5,13,7,9,48,1,0,0,0,1,3,4,4,697,976,0,0,25,2
R_W5_T5_43,T5,14,1,193,11,2,5,9,4,7,22,1,28,19,1,0,0,0,4,5,1,12,719,996,0,1,23,0
R_W5_T5_45,T5,7,1,156,12,0,4,8,1,7,14,3,13,19,5,0,2,0,3,1,0,16,506,712,0,0,174,0
R_W5_T5_46,T5,10,4,157,11,2,10,5,10,14,32,5,21,39,8,0,1,0,6,6,3,14,609,745,0,0,29,2
R_W5_T5_48,T5,17,3,113,12,0,3,5,15,10,12,2,16,10,2,0,0,4,3,3,1,11,508,709,0,0,49,0
R_W5_T5_49,T5,9,7,205,9,0,5,2,11,12,15,2,18,29,2,4,0,2,0,4,6,16,586,873,1,0,20,1
R_W5_T5_65,T5,14,3,228,17,2,4,0,15,2,32,4,22,17,5,0,0,1,4,2,1,12,711,753,0,0,9,1
R_W5_T5_68,T5,14,1,204,33,1,2,11,8,22,35,3,18,21,2,0,0,3,1,2,1,18,874,793,1,0,4,1
R_W5_T5_69,T5,13,4,411,7,1,1,8,4,18,36,2,42,19,5,1,2,1,0,0,0,13,779,1030,0,1,20,14
R_W5_T6_1,T6,9,0,130,8,6,2,6,4,5,48,2,22,28,0,0,0,0,2,2,4,14,542,702,0,0,13,0
R_W5_T6_22,T6,7,0,81,0,1,0,0,1,2,12,6,51,26,0,0,0,0,0,1,0,11,289,1069,0,1,24,2
