"","R_W5_T1_150","R_W5_T1_151","R_W5_T1_152","R_W5_T1_154","R_W5_T1_160","R_W5_T1_176","R_W5_T1_178","R_W5_T1_179","R_W5_T1_181","R_W5_T1_182","R_W5_T1_185","R_W5_T1_187","R_W5_T1_206","R_W5_T1_208","R_W5_T1_209","R_W5_T1_210","R_W5_T2_142","R_W5_T2_143","R_W5_T2_145","R_W5_T2_146","R_W5_T2_147","R_W5_T2_164","R_W5_T2_169","R_W5_T2_170","R_W5_T2_171","R_W5_T2_173","R_W5_T2_175","R_W5_T2_190","R_W5_T2_191","R_W5_T2_192","R_W5_T2_193","R_W5_T2_196","R_W5_T2_197","R_W5_T2_198","R_W5_T2_200","R_W5_T2_203","R_W5_T3_100","R_W5_T3_101","R_W5_T3_103","R_W5_T3_104","R_W5_T3_121","R_W5_T3_122","R_W5_T3_124","R_W5_T3_125","R_W5_T3_128","R_W5_T3_129","R_W5_T3_130","R_W5_T3_132","R_W5_T3_133","R_W5_T3_72","R_W5_T3_74","R_W5_T3_76","R_W5_T3_77","R_W5_T3_92","R_W5_T3_94","R_W5_T3_98","R_W5_T4_107","R_W5_T4_109","R_W5_T4_110","R_W5_T4_113","R_W5_T4_114","R_W5_T4_115","R_W5_T4_116","R_W5_T4_118","R_W5_T4_134","R_W5_T4_136","R_W5_T4_137","R_W5_T4_139","R_W5_T4_140","R_W5_T4_78","R_W5_T4_79","R_W5_T4_81","R_W5_T4_84","R_W5_T4_85","R_W5_T4_87","R_W5_T4_90","R_W5_T4_91","R_W5_T5_10","R_W5_T5_11","R_W5_T5_12","R_W5_T5_13","R_W5_T5_14","R_W5_T5_15","R_W5_T5_18","R_W5_T5_19","R_W5_T5_20","R_W5_T5_21","R_W5_T5_37","R_W5_T5_39","R_W5_T5_41","R_W5_T5_43","R_W5_T5_45","R_W5_T5_46","R_W5_T5_48","R_W5_T5_49","R_W5_T5_65","R_W5_T5_68","R_W5_T5_69","R_W5_T6_1","R_W5_T6_22","R_W5_T6_23","R_W5_T6_24","R_W5_T6_25","R_W5_T6_27","R_W5_T6_29","R_W5_T6_32","R_W5_T6_33","R_W5_T6_35","R_W5_T6_4","R_W5_T6_5","R_W5_T6_50","R_W5_T6_51","R_W5_T6_54","R_W5_T6_55","R_W5_T6_56","R_W5_T6_57","R_W5_T6_6","R_W5_T6_61","R_W5_T6_62"
"R_W5_T1_150",0,0.166224489795918,0.160102040816327,0.239183673469388,0.23030612244898,0.253163265306122,0.228979591836735,0.282755102040816,0.308775510204082,0.251938775510204,0.238163265306122,0.254489795918367,0.269795918367347,0.24530612244898,0.22765306122449,0.215714285714286,0.277755102040816,0.330612244897959,0.206836734693878,0.22265306122449,0.210510204081633,0.248163265306122,0.279183673469388,0.310918367346939,0.229387755102041,0.22265306122449,0.267857142857143,0.267040816326531,0.246734693877551,0.266428571428571,0.310204081632653,0.310408163265306,0.292244897959184,0.370408163265306,0.283265306122449,0.265102040816327,0.249285714285714,0.205102040816327,0.197959183673469,0.253775510204082,0.245,0.271938775510204,0.258367346938775,0.235102040816327,0.282244897959184,0.21234693877551,0.172448979591837,0.18530612244898,0.225,0.223877551020408,0.313367346938775,0.274285714285714,0.249183673469388,0.256428571428571,0.277244897959184,0.230714285714286,0.203061224489796,0.25734693877551,0.326428571428571,0.309489795918367,0.423061224489796,0.250816326530612,0.28,0.216836734693878,0.201938775510204,0.197551020408163,0.265918367346939,0.27734693877551,0.28765306122449,0.202244897959184,0.226938775510204,0.276938775510204,0.270816326530612,0.345,0.280816326530612,0.273775510204082,0.226428571428571,0.248979591836735,0.248163265306122,0.239183673469388,0.262448979591837,0.20969387755102,0.277142857142857,0.248265306122449,0.243061224489796,0.229591836734694,0.223469387755102,0.258367346938775,0.230408163265306,0.221632653061224,0.229591836734694,0.272551020408163,0.263265306122449,0.289897959183673,0.254183673469388,0.249489795918367,0.243877551020408,0.267857142857143,0.269795918367347,0.383469387755102,0.223775510204082,0.274591836734694,0.282040816326531,0.338775510204082,0.258265306122449,0.255102040816327,0.245102040816327,0.243469387755102,0.280612244897959,0.273571428571429,0.268469387755102,0.301938775510204,0.386326530612245,0.295918367346939,0.273061224489796,0.326326530612245,0.283367346938776,0.403367346938776,0.286938775510204
"R_W5_T1_151",0.166224489795918,0,0.17030612244898,0.233979591836735,0.239591836734694,0.239897959183673,0.233877551020408,0.293673469387755,0.304183673469388,0.271224489795918,0.258571428571429,0.25530612244898,0.235510204081633,0.228265306122449,0.22265306122449,0.239897959183673,0.252448979591837,0.334387755102041,0.181224489795918,0.22265306122449,0.205102040816327,0.246326530612245,0.279183673469388,0.301428571428571,0.213265306122449,0.196224489795918,0.275612244897959,0.278571428571429,0.254897959183673,0.278673469387755,0.296530612244898,0.299183673469388,0.275,0.372142857142857,0.257040816326531,0.276938775510204,0.280918367346939,0.228469387755102,0.240510204081633,0.283061224489796,0.246020408163265,0.296938775510204,0.236326530612245,0.265510204081633,0.317755102040816,0.217857142857143,0.17734693877551,0.217755102040816,0.25530612244898,0.253061224489796,0.33265306122449,0.285918367346939,0.254081632653061,0.248469387755102,0.286734693877551,0.259795918367347,0.237040816326531,0.265510204081633,0.319591836734694,0.303367346938775,0.401938775510204,0.249081632653061,0.285918367346939,0.23265306122449,0.218367346938776,0.214387755102041,0.274081632653061,0.281428571428571,0.281734693877551,0.248367346938776,0.27234693877551,0.291428571428571,0.274489795918367,0.318877551020408,0.271428571428571,0.299489795918367,0.251122448979592,0.271428571428571,0.29765306122449,0.290408163265306,0.292959183673469,0.255204081632653,0.302448979591837,0.271632653061224,0.265714285714286,0.284795918367347,0.24265306122449,0.28734693877551,0.252142857142857,0.254591836734694,0.268469387755102,0.273469387755102,0.29469387755102,0.315714285714286,0.272857142857143,0.238775510204082,0.236836734693878,0.283469387755102,0.284489795918367,0.405408163265306,0.218061224489796,0.274897959183673,0.306224489795918,0.349081632653061,0.269081632653061,0.242040816326531,0.215102040816327,0.237142857142857,0.297959183673469,0.293571428571429,0.261938775510204,0.312040816326531,0.386836734693878,0.283163265306122,0.27234693877551,0.322755102040816,0.309897959183673,0.392857142857143,0.29765306122449
"R_W5_T1_152",0.160102040816327,0.17030612244898,0,0.233979591836735,0.217142857142857,0.246938775510204,0.228367346938776,0.285408163265306,0.296530612244898,0.237959183673469,0.235102040816327,0.243673469387755,0.261224489795918,0.229591836734694,0.201734693877551,0.204285714285714,0.260102040816327,0.321632653061225,0.201122448979592,0.179081632653061,0.214183673469388,0.244795918367347,0.269285714285714,0.295612244897959,0.233673469387755,0.198265306122449,0.255612244897959,0.245816326530612,0.23234693877551,0.265510204081633,0.296530612244898,0.296530612244898,0.262551020408163,0.371734693877551,0.268775510204082,0.276020408163265,0.249897959183673,0.215612244897959,0.218775510204082,0.252755102040816,0.260408163265306,0.272448979591837,0.255612244897959,0.24969387755102,0.301632653061224,0.218469387755102,0.149897959183673,0.188469387755102,0.232040816326531,0.241734693877551,0.321734693877551,0.280714285714286,0.246632653061224,0.262142857142857,0.292857142857143,0.240816326530612,0.207959183673469,0.260714285714286,0.313673469387755,0.298367346938776,0.406938775510204,0.261224489795918,0.28765306122449,0.238775510204082,0.198367346938776,0.22234693877551,0.266734693877551,0.275816326530612,0.283877551020408,0.202244897959184,0.251224489795918,0.276632653061224,0.282040816326531,0.322551020408163,0.280510204081633,0.270510204081633,0.234081632653061,0.233469387755102,0.249489795918367,0.253571428571429,0.28234693877551,0.214285714285714,0.275102040816327,0.244489795918367,0.226530612244898,0.239285714285714,0.216020408163265,0.26530612244898,0.230204081632653,0.222142857142857,0.224081632653061,0.25530612244898,0.261836734693878,0.287551020408163,0.246530612244898,0.238673469387755,0.240510204081633,0.263877551020408,0.260408163265306,0.381224489795918,0.219285714285714,0.260510204081633,0.290918367346939,0.327551020408163,0.24969387755102,0.231020408163265,0.22765306122449,0.253469387755102,0.286122448979592,0.284285714285714,0.25,0.290102040816327,0.37265306122449,0.279285714285714,0.249897959183673,0.320204081632653,0.270510204081633,0.387959183673469,0.286020408163265
"R_W5_T1_154",0.239183673469388,0.233979591836735,0.233979591836735,0,0.255,0.265408163265306,0.257857142857143,0.302142857142857,0.298163265306122,0.285918367346939,0.284387755102041,0.277959183673469,0.30734693877551,0.263367346938776,0.27469387755102,0.278673469387755,0.272857142857143,0.308571428571429,0.250612244897959,0.283775510204082,0.246938775510204,0.279285714285714,0.293673469387755,0.313061224489796,0.276734693877551,0.259285714285714,0.298265306122449,0.296122448979592,0.29734693877551,0.299897959183673,0.323673469387755,0.334183673469388,0.298163265306122,0.36765306122449,0.295204081632653,0.296836734693878,0.302142857142857,0.294183673469388,0.275918367346939,0.312142857142857,0.285408163265306,0.32765306122449,0.286938775510204,0.300816326530612,0.336734693877551,0.276938775510204,0.241224489795918,0.25030612244898,0.274081632653061,0.286428571428571,0.347448979591837,0.337755102040816,0.314285714285714,0.285204081632653,0.338673469387755,0.310918367346939,0.269081632653061,0.272959183673469,0.33734693877551,0.299795918367347,0.402142857142857,0.278265306122449,0.302959183673469,0.283265306122449,0.288979591836735,0.246224489795918,0.278265306122449,0.274387755102041,0.289285714285714,0.272142857142857,0.290510204081633,0.28234693877551,0.284489795918367,0.346734693877551,0.299591836734694,0.308061224489796,0.256632653061225,0.311020408163265,0.313163265306122,0.308877551020408,0.337040816326531,0.296122448979592,0.317551020408163,0.315816326530612,0.299591836734694,0.308673469387755,0.270102040816327,0.30234693877551,0.293775510204082,0.285102040816327,0.288469387755102,0.300612244897959,0.315408163265306,0.332244897959184,0.305612244897959,0.267959183673469,0.31,0.312959183673469,0.294591836734694,0.421530612244898,0.261938775510204,0.282551020408163,0.287142857142857,0.333367346938776,0.280204081632653,0.265408163265306,0.26,0.268367346938776,0.290510204081633,0.296632653061224,0.293877551020408,0.306224489795918,0.383571428571429,0.293673469387755,0.279081632653061,0.318061224489796,0.316938775510204,0.383061224489796,0.295918367346939
"R_W5_T1_160",0.23030612244898,0.239591836734694,0.217142857142857,0.255,0,0.196326530612245,0.180816326530612,0.210408163265306,0.213061224489796,0.214489795918367,0.159183673469388,0.245,0.263367346938776,0.233367346938776,0.237040816326531,0.222142857142857,0.212755102040816,0.242755102040816,0.194387755102041,0.242551020408163,0.189285714285714,0.180918367346939,0.201530612244898,0.267448979591837,0.229897959183673,0.218775510204082,0.206938775510204,0.221938775510204,0.225714285714286,0.24469387755102,0.259897959183673,0.248265306122449,0.244285714285714,0.332448979591837,0.26969387755102,0.203673469387755,0.233673469387755,0.261938775510204,0.215204081632653,0.261020408163265,0.210102040816327,0.239795918367347,0.214285714285714,0.224897959183673,0.257244897959184,0.215918367346939,0.233775510204082,0.204183673469388,0.196326530612245,0.258469387755102,0.293265306122449,0.28530612244898,0.252040816326531,0.26,0.296020408163265,0.295,0.226224489795918,0.21765306122449,0.273775510204082,0.26765306122449,0.364183673469388,0.234285714285714,0.239183673469388,0.225918367346939,0.23530612244898,0.210510204081633,0.200510204081633,0.223367346938776,0.212040816326531,0.240102040816327,0.239081632653061,0.20234693877551,0.211632653061225,0.292755102040816,0.240102040816327,0.22734693877551,0.207448979591837,0.270612244897959,0.247857142857143,0.232448979591837,0.341632653061224,0.252959183673469,0.290408163265306,0.271326530612245,0.283163265306122,0.241428571428571,0.228571428571429,0.240408163265306,0.254795918367347,0.225408163265306,0.234183673469388,0.282857142857143,0.265510204081633,0.284183673469388,0.275612244897959,0.20265306122449,0.254489795918367,0.235510204081633,0.263775510204082,0.422755102040816,0.222857142857143,0.223673469387755,0.235102040816327,0.268061224489796,0.225816326530612,0.215612244897959,0.254183673469388,0.251224489795918,0.260714285714286,0.25469387755102,0.245510204081633,0.276326530612245,0.354591836734694,0.27030612244898,0.243775510204082,0.263163265306122,0.287551020408163,0.333163265306122,0.223163265306122
"R_W5_T1_176",0.253163265306122,0.239897959183673,0.246938775510204,0.265408163265306,0.196326530612245,0,0.175408163265306,0.192040816326531,0.220510204081633,0.226632653061224,0.210816326530612,0.260918367346939,0.309795918367347,0.253367346938775,0.286836734693878,0.27734693877551,0.220714285714286,0.257959183673469,0.184591836734694,0.271020408163265,0.215408163265306,0.196734693877551,0.218061224489796,0.290408163265306,0.218979591836735,0.222959183673469,0.201122448979592,0.275714285714286,0.243571428571429,0.255612244897959,0.261122448979592,0.261836734693878,0.26969387755102,0.32,0.295510204081633,0.227142857142857,0.279489795918367,0.308571428571429,0.252551020408163,0.303673469387755,0.245,0.285714285714286,0.220102040816327,0.268775510204082,0.293673469387755,0.236530612244898,0.268877551020408,0.268061224489796,0.251938775510204,0.299489795918367,0.320714285714286,0.303979591836735,0.286836734693878,0.27734693877551,0.310714285714286,0.325714285714286,0.267857142857143,0.239387755102041,0.309183673469388,0.286836734693878,0.363571428571429,0.243673469387755,0.263979591836735,0.248877551020408,0.266428571428571,0.216530612244898,0.211938775510204,0.241836734693878,0.240612244897959,0.282551020408163,0.280918367346939,0.25234693877551,0.227448979591837,0.299897959183673,0.232040816326531,0.273061224489796,0.243367346938776,0.297551020408163,0.315102040816327,0.273469387755102,0.35,0.298163265306122,0.314489795918367,0.296122448979592,0.310408163265306,0.29530612244898,0.272448979591837,0.301530612244898,0.285510204081633,0.268367346938776,0.27765306122449,0.310408163265306,0.30469387755102,0.321428571428571,0.289081632653061,0.234285714285714,0.296836734693878,0.263163265306122,0.308979591836735,0.439285714285714,0.270612244897959,0.278979591836735,0.268775510204082,0.312040816326531,0.290204081632653,0.235816326530612,0.261326530612245,0.273877551020408,0.289387755102041,0.288163265306122,0.279285714285714,0.308571428571429,0.35969387755102,0.256224489795918,0.252755102040816,0.287040816326531,0.328163265306122,0.354285714285714,0.25
"R_W5_T1_178",0.228979591836735,0.233877551020408,0.228367346938776,0.257857142857143,0.180816326530612,0.175408163265306,0,0.186836734693878,0.235612244897959,0.231938775510204,0.210918367346939,0.250816326530612,0.295102040816327,0.244285714285714,0.262448979591837,0.261326530612245,0.228673469387755,0.27030612244898,0.179489795918367,0.26030612244898,0.189081632653061,0.157040816326531,0.198673469387755,0.263571428571429,0.216122448979592,0.223163265306122,0.182244897959184,0.247551020408163,0.238673469387755,0.233877551020408,0.263265306122449,0.249897959183673,0.242755102040816,0.328265306122449,0.272755102040816,0.201428571428571,0.259081632653061,0.289183673469388,0.25469387755102,0.263469387755102,0.246122448979592,0.285714285714286,0.233877551020408,0.255816326530612,0.287755102040816,0.240714285714286,0.241326530612245,0.247755102040816,0.232244897959184,0.296530612244898,0.311224489795918,0.321428571428571,0.278673469387755,0.290612244897959,0.291632653061224,0.317244897959184,0.237959183673469,0.226326530612245,0.267142857142857,0.271836734693878,0.335408163265306,0.231938775510204,0.223469387755102,0.24969387755102,0.238469387755102,0.200714285714286,0.204387755102041,0.206632653061224,0.221224489795918,0.270102040816327,0.248775510204082,0.227040816326531,0.229387755102041,0.273673469387755,0.238061224489796,0.263571428571429,0.215816326530612,0.288163265306122,0.292142857142857,0.255612244897959,0.335918367346939,0.273265306122449,0.313163265306122,0.287040816326531,0.288469387755102,0.279081632653061,0.247142857142857,0.272857142857143,0.269591836734694,0.23734693877551,0.263877551020408,0.309285714285714,0.29734693877551,0.295408163265306,0.297857142857143,0.218673469387755,0.286326530612245,0.264387755102041,0.259285714285714,0.432244897959184,0.260204081632653,0.257448979591837,0.259591836734694,0.294387755102041,0.249183673469388,0.244489795918367,0.262959183673469,0.272551020408163,0.274183673469388,0.268673469387755,0.286326530612245,0.302857142857143,0.345714285714286,0.267040816326531,0.258265306122449,0.246326530612245,0.293571428571429,0.34734693877551,0.250816326530612
"R_W5_T1_179",0.282755102040816,0.293673469387755,0.285408163265306,0.302142857142857,0.210408163265306,0.192040816326531,0.186836734693878,0,0.214285714285714,0.229081632653061,0.228469387755102,0.298367346938776,0.327755102040816,0.280510204081633,0.310510204081633,0.298877551020408,0.245408163265306,0.243775510204082,0.233979591836735,0.316428571428571,0.24234693877551,0.211326530612245,0.214183673469388,0.295204081632653,0.249183673469388,0.257755102040816,0.205816326530612,0.300510204081633,0.288775510204082,0.264897959183673,0.281632653061224,0.263061224489796,0.264897959183673,0.330918367346939,0.316530612244898,0.221020408163265,0.293061224489796,0.332959183673469,0.265714285714286,0.319489795918367,0.235102040816327,0.263061224489796,0.256020408163265,0.25734693877551,0.269183673469388,0.258775510204082,0.30030612244898,0.277142857142857,0.25469387755102,0.326122448979592,0.333979591836735,0.344387755102041,0.321836734693878,0.318979591836735,0.340408163265306,0.356020408163265,0.277448979591837,0.238265306122449,0.334081632653061,0.286938775510204,0.372244897959184,0.255204081632653,0.278469387755102,0.271938775510204,0.298571428571429,0.218673469387755,0.23734693877551,0.25969387755102,0.243163265306122,0.320102040816327,0.29,0.25469387755102,0.24265306122449,0.337857142857143,0.248061224489796,0.286734693877551,0.265408163265306,0.341020408163265,0.311428571428571,0.296938775510204,0.388877551020408,0.328367346938776,0.331326530612245,0.340714285714286,0.344183673469388,0.326530612244898,0.299285714285714,0.303979591836735,0.325714285714286,0.288367346938776,0.298877551020408,0.339795918367347,0.331122448979592,0.335,0.335918367346939,0.263571428571429,0.326224489795918,0.274795918367347,0.305816326530612,0.447857142857143,0.305204081632653,0.299795918367347,0.25234693877551,0.287755102040816,0.30469387755102,0.274591836734694,0.288061224489796,0.302040816326531,0.295204081632653,0.283979591836735,0.326428571428571,0.310102040816327,0.376122448979592,0.286224489795918,0.270102040816327,0.282244897959184,0.310102040816327,0.338775510204082,0.246428571428571
"R_W5_T1_181",0.308775510204082,0.304183673469388,0.296530612244898,0.298163265306122,0.213061224489796,0.220510204081633,0.235612244897959,0.214285714285714,0,0.225714285714286,0.230204081632653,0.282040816326531,0.338775510204082,0.263265306122449,0.311224489795918,0.306020408163265,0.216734693877551,0.21265306122449,0.248877551020408,0.31469387755102,0.268163265306122,0.233979591836735,0.202755102040816,0.27265306122449,0.249591836734694,0.251632653061225,0.210102040816327,0.281836734693878,0.280102040816327,0.24530612244898,0.267448979591837,0.237551020408163,0.244795918367347,0.310408163265306,0.307959183673469,0.264183673469388,0.304183673469388,0.345714285714286,0.286020408163265,0.328163265306122,0.282244897959184,0.291020408163265,0.273163265306122,0.287040816326531,0.28530612244898,0.276122448979592,0.325408163265306,0.291530612244898,0.249897959183673,0.334795918367347,0.336632653061224,0.341224489795918,0.311224489795918,0.318367346938775,0.356836734693878,0.367142857142857,0.295918367346939,0.26469387755102,0.329897959183673,0.297244897959184,0.341530612244898,0.256428571428571,0.281122448979592,0.310204081632653,0.33030612244898,0.255,0.212040816326531,0.245204081632653,0.202857142857143,0.308265306122449,0.308979591836735,0.27,0.23734693877551,0.32,0.264897959183673,0.293265306122449,0.272040816326531,0.306836734693878,0.30765306122449,0.27530612244898,0.389795918367347,0.330714285714286,0.319795918367347,0.317551020408163,0.32469387755102,0.30030612244898,0.285408163265306,0.309285714285714,0.297244897959184,0.300102040816327,0.289795918367347,0.30734693877551,0.289897959183673,0.314591836734694,0.303469387755102,0.222244897959184,0.29765306122449,0.27265306122449,0.303265306122449,0.453775510204082,0.293571428571429,0.277040816326531,0.220204081632653,0.270102040816327,0.283979591836735,0.235204081632653,0.257551020408163,0.288061224489796,0.268979591836735,0.282755102040816,0.299285714285714,0.288673469387755,0.343775510204082,0.250102040816327,0.23765306122449,0.266530612244898,0.338673469387755,0.346224489795918,0.230714285714286
"R_W5_T1_182",0.251938775510204,0.271224489795918,0.237959183673469,0.285918367346939,0.214489795918367,0.226632653061224,0.231938775510204,0.229081632653061,0.225714285714286,0,0.210102040816327,0.299183673469388,0.326326530612245,0.295510204081633,0.268367346938776,0.263877551020408,0.261836734693878,0.286020408163265,0.23734693877551,0.271632653061224,0.253673469387755,0.242448979591837,0.238571428571429,0.306836734693878,0.265714285714286,0.252551020408163,0.261224489795918,0.284897959183673,0.269591836734694,0.309081632653061,0.301122448979592,0.291224489795918,0.306428571428571,0.384591836734694,0.33030612244898,0.295,0.235204081632653,0.277755102040816,0.226428571428571,0.276428571428571,0.245102040816327,0.25530612244898,0.241734693877551,0.238571428571429,0.260510204081633,0.220204081632653,0.281122448979592,0.243469387755102,0.217857142857143,0.275,0.29234693877551,0.286020408163265,0.25469387755102,0.270408163265306,0.298163265306122,0.306734693877551,0.257551020408163,0.279285714285714,0.338265306122449,0.318979591836735,0.425102040816327,0.300612244897959,0.319183673469388,0.256428571428571,0.276530612244898,0.272040816326531,0.276938775510204,0.274183673469388,0.273163265306122,0.248265306122449,0.251938775510204,0.264795918367347,0.263265306122449,0.354795918367347,0.293877551020408,0.25734693877551,0.269183673469388,0.271224489795918,0.278367346938776,0.235204081632653,0.33734693877551,0.266530612244898,0.268469387755102,0.272551020408163,0.283571428571429,0.259489795918367,0.256734693877551,0.281530612244898,0.249285714285714,0.231836734693878,0.234081632653061,0.284591836734694,0.246734693877551,0.275510204081633,0.254285714285714,0.231734693877551,0.256938775510204,0.216428571428571,0.318163265306122,0.413367346938776,0.275510204081633,0.286836734693878,0.283265306122449,0.323469387755102,0.279795918367347,0.253469387755102,0.304591836734694,0.265102040816327,0.333163265306122,0.302551020408163,0.274591836734694,0.313979591836735,0.385918367346939,0.28265306122449,0.280510204081633,0.32530612244898,0.316632653061225,0.38734693877551,0.269081632653061
