ID,Distance,Variety,Treatment,Management
R_W5_T3_133,0.225,JELLY,3,Biological
R_W5_T2_191,0.225,PASJA_POMORSKA,2,Biological
R_W5_T3_121,0.225,PASJA_POMORSKA,3,Biological
R_W5_T6_1,0.225,ATOL,6,Chemical
R_W5_T3_121,0.245,PASJA_POMORSKA,3,Biological
R_W5_T3_121,0.245,PASJA_POMORSKA,3,Biological
R_W5_T4_84,0.245,SALTO,4,Chemical
R_W5_T4_136,0.255,JELLY,4,Chemical
R_W5_T6_23,0.255,KRAB,6,Chemical
R_W5_T2_197,0.275,DESIREE,2,Biological
R_W5_T3_72,0.275,RUDAWA,3,Biological
R_W5_T3_98,0.295,PASJA_POMORSKA,3,Biological
R_W5_T2_203,0.295,KRAB,2,Biological
R_W5_T5_13,0.305,ATOL,5,Chemical
R_W5_T6_51,0.305,JELLY,6,Chemical
R_W5_T5_48,0.335,DESIREE,5,Chemical
R_W5_T4_85,0.345,RUDAWA,4,Chemical
R_W5_T3_130,0.149897959,JELLY,3,Biological
R_W5_T2_164,0.157040816,PASJA_POMORSKA,2,Biological
R_W5_T6_33,0.169795918,JELLY,6,Chemical
R_W5_T3_130,0.17244898,JELLY,3,Biological
R_W5_T3_130,0.177346939,JELLY,3,Biological
R_W5_T2_146,0.179081633,JELLY,2,Biological
R_W5_T2_145,0.179489796,SALTO,2,Biological
R_W5_T2_164,0.180918367,PASJA_POMORSKA,2,Biological
R_W5_T2_145,0.18122449,SALTO,2,Biological
R_W5_T2_175,0.182244898,SALTO,2,Biological
R_W5_T2_145,0.184591837,SALTO,2,Biological
R_W5_T3_132,0.185306122,ATOL,3,Biological
R_W5_T3_132,0.188469388,ATOL,3,Biological
R_W5_T2_147,0.189081633,ATOL,2,Biological
R_W5_T4_134,0.189183673,RUDAWA,4,Chemical
R_W5_T2_147,0.189285714,ATOL,2,Biological
R_W5_T2_200,0.192755102,DESIREE,2,Biological
R_W5_T2_173,0.193367347,ATOL,2,Biological
R_W5_T4_134,0.193571429,RUDAWA,4,Chemical
R_W5_T2_145,0.194387755,SALTO,2,Biological
R_W5_T3_101,0.194489796,PASJA_POMORSKA,3,Biological
R_W5_T2_173,0.19622449,ATOL,2,Biological
R_W5_T3_133,0.196326531,JELLY,3,Biological
R_W5_T3_132,0.196326531,ATOL,3,Biological
R_W5_T2_164,0.196734694,PASJA_POMORSKA,2,Biological
R_W5_T4_136,0.19755102,JELLY,4,Chemical
R_W5_T3_103,0.197959184,DESIREE,3,Biological
R_W5_T2_173,0.198265306,ATOL,2,Biological
R_W5_T4_134,0.198367347,RUDAWA,4,Chemical
R_W5_T2_169,0.198673469,SALTO,2,Biological
R_W5_T4_137,0.200510204,SALTO,4,Chemical
R_W5_T4_136,0.200714286,JELLY,4,Chemical
R_W5_T2_145,0.201122449,SALTO,2,Biological
R_W5_T2_175,0.201122449,SALTO,2,Biological
R_W5_T2_203,0.201428571,KRAB,2,Biological
R_W5_T2_169,0.201530612,SALTO,2,Biological
R_W5_T4_134,0.201938776,RUDAWA,4,Chemical
R_W5_T4_78,0.202244898,PASJA_POMORSKA,4,Chemical
R_W5_T4_78,0.202244898,PASJA_POMORSKA,4,Chemical
R_W5_T4_81,0.202346939,DESIREE,4,Chemical
R_W5_T3_101,0.20244898,PASJA_POMORSKA,3,Biological
R_W5_T5_65,0.202653061,SALTO,5,Chemical
R_W5_T3_129,0.202653061,RUDAWA,3,Biological
R_W5_T2_169,0.202755102,SALTO,2,Biological
R_W5_T4_140,0.202857143,JELLY,4,Chemical
R_W5_T3_133,0.202959184,JELLY,3,Biological
R_W5_T4_107,0.203061224,DESIREE,4,Chemical
R_W5_T2_203,0.203673469,KRAB,2,Biological
R_W5_T6_23,0.203877551,KRAB,6,Chemical
R_W5_T3_132,0.204183673,ATOL,3,Biological
R_W5_T4_137,0.204387755,SALTO,4,Chemical
R_W5_T4_78,0.204387755,PASJA_POMORSKA,4,Chemical
R_W5_T3_101,0.205102041,PASJA_POMORSKA,3,Biological
R_W5_T2_147,0.205102041,ATOL,2,Biological
R_W5_T3_132,0.205714286,ATOL,3,Biological
R_W5_T2_175,0.205816327,SALTO,2,Biological
R_W5_T4_139,0.206632653,ATOL,4,Chemical
R_W5_T2_145,0.206836735,SALTO,2,Biological
R_W5_T2_175,0.206938776,SALTO,2,Biological
R_W5_T3_103,0.207142857,DESIREE,3,Biological
R_W5_T2_192,0.207142857,JELLY,2,Biological
R_W5_T4_91,0.20744898,ATOL,4,Chemical
R_W5_T4_107,0.207959184,DESIREE,4,Chemical
R_W5_T5_14,0.209693878,PASJA_POMORSKA,5,Chemical
R_W5_T3_121,0.210102041,PASJA_POMORSKA,3,Biological
R_W5_T2_175,0.210102041,SALTO,2,Biological
R_W5_T2_147,0.210510204,ATOL,2,Biological
R_W5_T4_136,0.210510204,JELLY,4,Chemical
R_W5_T6_23,0.210510204,KRAB,6,Chemical
R_W5_T2_164,0.211326531,PASJA_POMORSKA,2,Biological
R_W5_T4_84,0.211632653,SALTO,4,Chemical
R_W5_T2_145,0.211632653,SALTO,2,Biological
R_W5_T5_65,0.211734694,SALTO,5,Chemical
R_W5_T4_137,0.211938776,SALTO,4,Chemical
R_W5_T4_140,0.212040816,JELLY,4,Chemical
R_W5_T4_137,0.212040816,SALTO,4,Chemical
R_W5_T3_129,0.212346939,RUDAWA,3,Biological
R_W5_T2_143,0.212653061,RUDAWA,2,Biological
R_W5_T2_142,0.212755102,PASJA_POMORSKA,2,Biological
R_W5_T5_68,0.212857143,KRAB,5,Chemical
R_W5_T2_171,0.213265306,JELLY,2,Biological
R_W5_T2_147,0.214183673,ATOL,2,Biological
R_W5_T2_169,0.214183673,SALTO,2,Biological
R_W5_T5_14,0.214285714,PASJA_POMORSKA,5,Chemical
R_W5_T3_124,0.214285714,KRAB,3,Biological
R_W5_T4_136,0.214387755,JELLY,4,Chemical
R_W5_T3_72,0.214591837,RUDAWA,3,Biological
R_W5_T2_164,0.214897959,PASJA_POMORSKA,2,Biological
R_W5_T6_33,0.215102041,JELLY,6,Chemical
R_W5_T3_103,0.215204082,DESIREE,3,Biological
R_W5_T2_147,0.215408163,ATOL,2,Biological
R_W5_T4_136,0.215510204,JELLY,4,Chemical
R_W5_T3_101,0.215612245,PASJA_POMORSKA,3,Biological
R_W5_T6_32,0.215612245,SALTO,6,Chemical
R_W5_T6_32,0.215612245,SALTO,6,Chemical
R_W5_T4_91,0.215816327,ATOL,4,Chemical
R_W5_T3_129,0.215918367,RUDAWA,3,Biological
R_W5_T5_21,0.216020408,JELLY,5,Chemical
R_W5_T2_171,0.216122449,JELLY,2,Biological
R_W5_T5_69,0.216428571,ATOL,5,Chemical
R_W5_T4_136,0.216530612,JELLY,4,Chemical
R_W5_T2_142,0.216530612,PASJA_POMORSKA,2,Biological
R_W5_T2_142,0.216734694,PASJA_POMORSKA,2,Biological
R_W5_T4_118,0.216836735,JELLY,4,Chemical
R_W5_T6_23,0.216836735,KRAB,6,Chemical
R_W5_T3_130,0.217040816,JELLY,3,Biological
R_W5_T4_109,0.217653061,PASJA_POMORSKA,4,Chemical
R_W5_T3_132,0.217755102,ATOL,3,Biological
R_W5_T3_129,0.217857143,RUDAWA,3,Biological
R_W5_T3_133,0.217857143,JELLY,3,Biological
R_W5_T6_23,0.218061224,KRAB,6,Chemical
R_W5_T2_169,0.218061224,SALTO,2,Biological
R_W5_T3_130,0.218061224,JELLY,3,Biological
R_W5_T4_134,0.218367347,RUDAWA,4,Chemical
R_W5_T4_91,0.218367347,ATOL,4,Chemical
R_W5_T3_129,0.218469388,RUDAWA,3,Biological
R_W5_T2_171,0.218469388,JELLY,2,Biological
R_W5_T5_65,0.218673469,SALTO,5,Chemical
R_W5_T4_136,0.218673469,JELLY,4,Chemical
R_W5_T3_103,0.21877551,DESIREE,3,Biological
R_W5_T2_173,0.21877551,ATOL,2,Biological
R_W5_T2_171,0.218979592,JELLY,2,Biological
R_W5_T6_23,0.219285714,KRAB,6,Chemical
R_W5_T2_145,0.219387755,SALTO,2,Biological
R_W5_T2_147,0.219489796,ATOL,2,Biological
R_W5_T2_145,0.219489796,SALTO,2,Biological
R_W5_T2_173,0.219489796,ATOL,2,Biological
R_W5_T3_124,0.220102041,KRAB,3,Biological
R_W5_T3_72,0.220102041,RUDAWA,3,Biological
R_W5_T6_25,0.220204082,DESIREE,6,Chemical
R_W5_T3_129,0.220204082,RUDAWA,3,Biological
R_W5_T2_142,0.220714286,PASJA_POMORSKA,2,Biological
R_W5_T2_203,0.221020408,KRAB,2,Biological
R_W5_T4_140,0.22122449,JELLY,4,Chemical
R_W5_T5_68,0.221326531,KRAB,5,Chemical
R_W5_T5_41,0.221632653,KRAB,5,Chemical
R_W5_T2_190,0.221938776,DESIREE,2,Biological
R_W5_T5_41,0.222142857,KRAB,5,Chemical
R_W5_T5_65,0.222244898,SALTO,5,Chemical
R_W5_T4_136,0.222346939,JELLY,4,Chemical
R_W5_T4_78,0.222346939,PASJA_POMORSKA,4,Chemical
R_W5_T2_146,0.222653061,JELLY,2,Biological
