ID,Distance,Variety,,,,,,,,,,,,,,
1,0.189285714,ATOL,,,,,,,,,,,,,,
2,0.21877551,ATOL,,,,,,,,,,,,,,
3,0.248265306,ATOL,,,,,,,,,,,,,,
4,0.224897959,ATOL,,,,,,,,,,,,,,
5,0.204183673,ATOL,,,,,,,,,,,,,,
6,0.252040816,ATOL,,,,,,,,,,,,,,
7,0.223367347,ATOL,,,,,,,,,,,,,,
8,0.240102041,ATOL,,,,,,,,,,,,,,
9,0.20744898,ATOL,,,,,,,,,,,,,,
10,0.247857143,ATOL,,,,,,,,,,,,,,
11,0.341632653,ATOL,,,,,,,,,,,,,,
12,0.235510204,ATOL,,,,,,,,,,,,,,
13,0.26377551,ATOL,,,,,,,,,,,,,,
14,0.225816327,ATOL,,,,,,,,,,,,,,
15,0.25122449,ATOL,,,,,,,,,,,,,,
16,0.210102041,ATOL,,,,,,,,,,,,,,
17,0.268163265,ATOL,,,,,,,,,,,,,,
18,0.239897959,ATOL,,,,,,,,,,,,,,
19,0.228265306,ATOL,,,,,,,,,,,,,,
20,0.261938776,ATOL,,,,,,,,,,,,,,
21,0.255816327,ATOL,,,,,,,,,,,,,,
22,0.226530612,ATOL,,,,,,,,,,,,,,
23,0.220306122,ATOL,,,,,,,,,,,,,,
24,0.271836735,ATOL,,,,,,,,,,,,,,
25,0.348571429,ATOL,,,,,,,,,,,,,,
26,0.263265306,ATOL,,,,,,,,,,,,,,
27,0.265714286,ATOL,,,,,,,,,,,,,,
28,0.252142857,ATOL,,,,,,,,,,,,,,
29,0.268673469,ATOL,,,,,,,,,,,,,,
30,0.246734694,ATOL,,,,,,,,,,,,,,
31,0.285918367,ATOL,,,,,,,,,,,,,,
32,0.235816327,ATOL,,,,,,,,,,,,,,
33,0.275306122,ATOL,,,,,,,,,,,,,,
34,0.258265306,ATOL,,,,,,,,,,,,,,
35,0.246938776,ATOL,,,,,,,,,,,,,,
36,0.232653061,ATOL,,,,,,,,,,,,,,
37,0.284795918,ATOL,,,,,,,,,,,,,,
38,0.298061224,ATOL,,,,,,,,,,,,,,
39,0.293979592,ATOL,,,,,,,,,,,,,,
40,0.246938776,ATOL,,,,,,,,,,,,,,
41,0.255816327,ATOL,,,,,,,,,,,,,,
42,0.255816327,ATOL,,,,,,,,,,,,,,
43,0.322142857,ATOL,,,,,,,,,,,,,,
44,0.319285714,ATOL,,,,,,,,,,,,,,
45,0.305,ATOL,,,,,,,,,,,,,,
46,0.253877551,ATOL,,,,,,,,,,,,,,
47,0.24744898,ATOL,,,,,,,,,,,,,,
48,0.256734694,ATOL,,,,,,,,,,,,,,
49,0.276530612,ATOL,,,,,,,,,,,,,,
50,0.368061224,ATOL,,,,,,,,,,,,,,
51,0.311632653,ATOL,,,,,,,,,,,,,,
52,0.255510204,ATOL,,,,,,,,,,,,,,
53,0.263673469,ATOL,,,,,,,,,,,,,,
54,0.287346939,ATOL,,,,,,,,,,,,,,
55,0.218265306,ATOL,,,,,,,,,,,,,,
56,0.243163265,ATOL,,,,,,,,,,,,,,
57,0.28122449,ATOL,,,,,,,,,,,,,,
58,0.248469388,ATOL,,,,,,,,,,,,,,
59,0.236938776,ATOL,,,,,,,,,,,,,,
60,0.280714286,ATOL,,,,,,,,,,,,,,
61,0.35877551,ATOL,,,,,,,,,,,,,,
62,0.224795918,ATOL,,,,,,,,,,,,,,
63,0.304897959,ATOL,,,,,,,,,,,,,,
64,0.289183673,ATOL,,,,,,,,,,,,,,
65,0.269489796,ATOL,,,,,,,,,,,,,,
66,0.242653061,ATOL,,,,,,,,,,,,,,
67,0.268061224,ATOL,,,,,,,,,,,,,,
68,0.27877551,ATOL,,,,,,,,,,,,,,
69,0.213265306,ATOL,,,,,,,,,,,,,,
70,0.249285714,ATOL,,,,,,,,,,,,,,
71,0.287142857,ATOL,,,,,,,,,,,,,,
72,0.240102041,ATOL,,,,,,,,,,,,,,
73,0.253367347,ATOL,,,,,,,,,,,,,,
74,0.240714286,ATOL,,,,,,,,,,,,,,
75,0.236428571,ATOL,,,,,,,,,,,,,,
76,0.297346939,ATOL,,,,,,,,,,,,,,
77,0.284897959,ATOL,,,,,,,,,,,,,,
78,0.245612245,ATOL,,,,,,,,,,,,,,
79,0.280204082,ATOL,,,,,,,,,,,,,,
80,0.295918367,ATOL,,,,,,,,,,,,,,
81,0.223061224,ATOL,,,,,,,,,,,,,,
82,0.311326531,ATOL,,,,,,,,,,,,,,
83,0.272142857,ATOL,,,,,,,,,,,,,,
84,0.258673469,ATOL,,,,,,,,,,,,,,
85,0.251632653,ATOL,,,,,,,,,,,,,,
86,0.220918367,ATOL,,,,,,,,,,,,,,
87,0.29755102,ATOL,,,,,,,,,,,,,,
88,0.351734694,ATOL,,,,,,,,,,,,,,
89,0.293571429,ATOL,,,,,,,,,,,,,,
90,0.243673469,ATOL,,,,,,,,,,,,,,
91,0.207653061,ATOL,,,,,,,,,,,,,,
92,0.292244898,ATOL,,,,,,,,,,,,,,
93,0.228061224,ATOL,,,,,,,,,,,,,,
94,0.303469388,ATOL,,,,,,,,,,,,,,
95,0.37877551,ATOL,,,,,,,,,,,,,,
96,0.270816327,ATOL,,,,,,,,,,,,,,
97,0.297142857,ATOL,,,,,,,,,,,,,,
98,0.281326531,ATOL,,,,,,,,,,,,,,
99,0.264489796,ATOL,,,,,,,,,,,,,,
100,0.220204082,ATOL,,,,,,,,,,,,,,
101,0.302755102,ATOL,,,,,,,,,,,,,,
102,0.257346939,ATOL,,,,,,,,,,,,,,
103,0.197755102,ATOL,,,,,,,,,,,,,,
104,0.200306122,ATOL,,,,,,,,,,,,,,
105,0.216632653,ATOL,,,,,,,,,,,,,,
106,0.281632653,ATOL,,,,,,,,,,,,,,
107,0.273367347,ATOL,,,,,,,,,,,,,,
108,0.231530612,ATOL,,,,,,,,,,,,,,
109,0.243673469,ATOL,,,,,,,,,,,,,,
110,0.249693878,ATOL,,,,,,,,,,,,,,
111,0.334897959,ATOL,,,,,,,,,,,,,,
