node_id,indicgroup,size,degree,Genus,Family,Order,Class,Phylum
OTU815,2,4.3,82246.66057,unidentified,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU3084,2,4.3,1224.46929,Melanocarpus,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
OTU3050,2,3.8,660.5951041,Cephaliophora,Ascodesmidaceae,Pezizales,Pezizomycetes,Ascomycota
OTU658,2,3.7,3061.709935,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU703,2,3.4,746.3371062,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU2174,2,3.3,1645.477624,unidentified,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
d972a85264362dd26864c57601e60f68,2,3,1642.584427,unidentified,Blastocatellaceae,Blastocatellales,Blastocatellia,Acidobacteriota
OTU2391,2,2.9,187.7250679,Kernia,Microascaceae,Microascales,Sordariomycetes,Ascomycota
OTU625,2,2.8,19367.29372,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU3306,2,2.8,77.11960078,Cephaliophora,Ascodesmidaceae,Pezizales,Pezizomycetes,Ascomycota
OTU1864,2,2.7,164.6431665,Entoloma,Entolomataceae,Agaricales,Agaricomycetes,Basidiomycota
OTU2734,2,2.7,246.8816074,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
4027a1857865117ca02f6277aa2b37ac,2,2.6,8288.153604,SC-I-84,SC-I-84,Burkholderiales,Gammaproteobacteria,Proteobacteria
OTU3021,2,2.6,33040.00664,Pseudaleuria,Pyronemataceae,Pezizales,Pezizomycetes,Ascomycota
OTU660,2,2.5,87.51273821,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
34fa56acbe26e0dbaf6563fc4c52d16f,2,2.4,176.2141523,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
ce9f07fcf4551d71347508e882a5b3eb,2,2.4,2107.880492,unidentified,Blastocatellaceae,Blastocatellales,Blastocatellia,Acidobacteriota
OTU727,2,2.4,1016.002823,unidentified,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU802,2,2.4,308.6681339,unidentified,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU781,2,2.4,54.04477615,unidentified,unidentified,unidentified,unidentified,unidentified
b2af2d86f64b5aa555813c2e5ccf5125,2,2.4,744.1577561,Ramlibacter,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
5b2529faa44a3679b887ecd91b6b4149,2,2.3,4926.33194,KD4-96,KD4-96,KD4-96,KD4-96,Chloroflexi
77ad3154ca3adff60055d34ae6086e14,2,2.3,69.43227657,Anaeromyxobacter,Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota
OTU3156,2,2.3,2576.068545,Clohesyomyces,Lindgomycetaceae,Pleosporales,Dothideomycetes,Ascomycota
OTU574,2,2.3,768.6570585,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mortierellomycota
OTU1580,2,2.3,77.26702237,unidentified,unidentified,unidentified,unidentified,Chytridiomycota
83a543bbbdf4c116b9f26adff279deaa,2,2.3,1116.903555,Subgroup_7,Subgroup_7,Subgroup_7,Holophagae,Acidobacteriota
3acfec832a73b083e65c720111ed7b3c,2,2.2,203.3314598,MND1,Nitrosomonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
OTU3347,2,2.2,2938.548646,unidentified,unidentified,unidentified,unidentified,unidentified
OTU3685,2,2.2,401.1072675,Botryotrichum,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
OTU3192,2,2.2,267.3489501,Pseudaleuria,Pyronemataceae,Pezizales,Pezizomycetes,Ascomycota
OTU4022,2,2.2,321.334686,unidentified,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
