SampleID;Sample_id;Sample_NO;Soil_type;Sampling_time;Variety;Treatment;Replicate;PlotNO;People;Nucleic.Acid.Con;A260.A280;A260.A230
B_D0_T1_1;B_D0_T1_1;1;bulk;D0;Bulk soil;1;1;composited;Xiu;82.9;1.884;1.925
B_D0_T2_1;B_D0_T2_1;2;bulk;D0;Bulk soil;2;1;composited;Xiu;94.15;1.858;1.81
B_D0_T3_1;B_D0_T3_1;3;bulk;D0;Bulk soil;3;1;composited;Xiu;102.31;1.871;1.847
B_D0_T4_1;B_D0_T4_1;4;bulk;D0;Bulk soil;4;1;composited;Xiu;69.22;1.883;1.767
B_D0_T5_1;B_D0_T5_1;5;bulk;D0;Bulk soil;5;1;composited;Xiu;86.77;1.873;1.799
B_D0_T6_1;B_D0_T6_1;6;bulk;D0;Bulk soil;6;1;composited;Xiu;84.96;1.876;1.882
R_W5_T1_160;R_W5_T1_160;37;rhizo;W5;ATOL;1;1;160;Michael;121.91;1.792;1.58
R_W5_T1_177;R_W5_T1_177;39;rhizo;W5;ATOL;1;2;177;Michael;177.17;1.655;1.195
R_W5_T1_183;R_W5_T1_183;45;rhizo;W5;ATOL;1;3;183;Tianci;109.55;1.809;1.6
R_W5_T2_147;R_W5_T2_147;64;rhizo;W5;ATOL;2;1;147;Michael;137.02;1.789;1.638
R_W5_T2_173;R_W5_T2_173;72;rhizo;W5;ATOL;2;3;173;Tianci;75.87;1.834;1.759
R_W5_T2_196;R_W5_T2_196;80;rhizo;W5;ATOL;2;2;196;Xiu;62.44;1.755;1.312
R_W5_T3_77;R_W5_T3_77;94;rhizo;W5;ATOL;3;2;77;Tianci;56.14;1.762;1.638
R_W5_T3_125;R_W5_T3_125;109;rhizo;W5;ATOL;3;3;125;Xiu;72.2;1.835;1.612
R_W5_T3_132;R_W5_T3_132;116;rhizo;W5;ATOL;3;1;132;Xiu;63.3;1.83;1.667
R_W5_T4_87;R_W5_T4_87;125;rhizo;W5;ATOL;4;2;87;Tianci;56.81;1.726;1.529
R_W5_T4_91;R_W5_T4_91;127;rhizo;W5;ATOL;4;1;91;Tianci;59.03;1.704;1.314
R_W5_T4_139;R_W5_T4_139;140;rhizo;W5;ATOL;4;3;139;Michael;41.68;1.783;1.722
R_W5_T5_11;R_W5_T5_11;144;rhizo;W5;ATOL;5;3;11;Michael;44.41;1.854;2.147
R_W5_T5_13;R_W5_T5_13;146;rhizo;W5;ATOL;5;1;13;Michael;50.05;1.814;1.77
R_W5_T5_69;R_W5_T5_69;165;rhizo;W5;ATOL;5;2;69;Xiu;68.85;1.673;1.271
R_W5_T6_1;R_W5_T6_1;166;rhizo;W5;ATOL;6;2;1;Xiu;67;1.704;1.233
R_W5_T6_29;R_W5_T6_29;177;rhizo;W5;ATOL;6;1;29;Michael;45.82;1.837;2.158
R_W5_T6_35;R_W5_T6_35;180;rhizo;W5;ATOL;6;3;35;Michael;54.02;1.859;2.008
B_W5_T1_1;B_W5_T1_1;7;bulk;W5;Bulk soil;1;1;composited;Michael;76.87;1.829;1.694
B_W5_T1_2;B_W5_T1_2;8;bulk;W5;Bulk soil;1;2;composited;Michael;67.12;1.828;1.526
B_W5_T1_3;B_W5_T1_3;9;bulk;W5;Bulk soil;1;3;composited;Michael;87.42;1.855;1.7
B_W5_T2_1;B_W5_T2_1;10;bulk;W5;Bulk soil;2;1;composited;Michael;56.95;1.829;1.51
B_W5_T2_2;B_W5_T2_2;11;bulk;W5;Bulk soil;2;2;composited;Michael;57.48;1.857;1.585
