No,Sampling_ID,Soil_type,Sampling_time,Variety,Treatment,Replicate
B_W5_T1_1,B_W5_T1_1,bulk,W5,bulk,1,1
B_W5_T1_2,B_W5_T1_2,bulk,W5,bulk,1,2
B_W5_T1_3,B_W5_T1_3,bulk,W5,bulk,1,3
B_W5_T2_1,B_W5_T2_1,bulk,W5,bulk,2,1
B_W5_T2_2,B_W5_T2_2,bulk,W5,bulk,2,2
B_W5_T2_3,B_W5_T2_3,bulk,W5,bulk,2,3
B_W5_T3_1,B_W5_T3_1,bulk,W5,bulk,3,1
B_W5_T3_2,B_W5_T3_2,bulk,W5,bulk,3,2
B_W5_T3_3,B_W5_T3_3,bulk,W5,bulk,3,3
B_W5_T4_1,B_W5_T4_1,bulk,W5,bulk,4,1
B_W5_T4_2,B_W5_T4_2,bulk,W5,bulk,4,2
B_W5_T4_3,B_W5_T4_3,bulk,W5,bulk,4,3
B_W5_T5_1,B_W5_T5_1,bulk,W5,bulk,5,1
B_W5_T5_2,B_W5_T5_2,bulk,W5,bulk,5,2
B_W5_T5_3,B_W5_T5_3,bulk,W5,bulk,5,3
B_W5_T6_1,B_W5_T6_1,bulk,W5,bulk,6,1
B_W5_T6_2,B_W5_T6_2,bulk,W5,bulk,6,2
B_W5_T6_3,B_W5_T6_3,bulk,W5,bulk,6,3
R_W5_T1_150,R_W5_T1_150,rhizo,W5,KRAB,1,1
R_W5_T1_151,R_W5_T1_151,rhizo,W5,PASJA_POMORSKA,1,2
R_W5_T1_152,R_W5_T1_152,rhizo,W5,SALTO,1,3
R_W5_T1_154,R_W5_T1_154,rhizo,W5,PASJA_POMORSKA,1,3
R_W5_T1_160,R_W5_T1_160,rhizo,W5,ATOL,1,1
R_W5_T1_176,R_W5_T1_176,rhizo,W5,DESIREE,1,2
R_W5_T1_178,R_W5_T1_178,rhizo,W5,SALTO,1,1
R_W5_T1_179,R_W5_T1_179,rhizo,W5,DESIREE,1,1
R_W5_T1_181,R_W5_T1_181,rhizo,W5,JELLY,1,1
R_W5_T1_182,R_W5_T1_182,rhizo,W5,RUDAWA,1,2
R_W5_T1_185,R_W5_T1_185,rhizo,W5,PASJA_POMORSKA,1,1
R_W5_T1_187,R_W5_T1_187,rhizo,W5,RUDAWA,1,3
R_W5_T1_206,R_W5_T1_206,rhizo,W5,SALTO,1,2
R_W5_T1_208,R_W5_T1_208,rhizo,W5,KRAB,1,2
R_W5_T1_209,R_W5_T1_209,rhizo,W5,RUDAWA,1,1
R_W5_T1_210,R_W5_T1_210,rhizo,W5,DESIREE,1,3
R_W5_T2_142,R_W5_T2_142,rhizo,W5,PASJA_POMORSKA,2,3
R_W5_T2_143,R_W5_T2_143,rhizo,W5,RUDAWA,2,1
R_W5_T2_145,R_W5_T2_145,rhizo,W5,SALTO,2,1
R_W5_T2_146,R_W5_T2_146,rhizo,W5,JELLY,2,2
R_W5_T2_147,R_W5_T2_147,rhizo,W5,ATOL,2,1
R_W5_T2_164,R_W5_T2_164,rhizo,W5,PASJA_POMORSKA,2,2
R_W5_T2_169,R_W5_T2_169,rhizo,W5,SALTO,2,2
R_W5_T2_170,R_W5_T2_170,rhizo,W5,RUDAWA,2,3
R_W5_T2_171,R_W5_T2_171,rhizo,W5,JELLY,2,3
R_W5_T2_173,R_W5_T2_173,rhizo,W5,ATOL,2,3
R_W5_T2_175,R_W5_T2_175,rhizo,W5,SALTO,2,3
R_W5_T2_190,R_W5_T2_190,rhizo,W5,DESIREE,2,3
