No,Sampling_ID,richness,shannon,simpson,pielous.evenness,Soil_type,Sampling_time,Variety,Treatment,Replicate,MIT
R_W5_T1_150,R_W5_T1_150,576,4.139169913,0.959299354,0.651211423,rhizo,W5,KRAB,1,1,Middle
R_W5_T1_151,R_W5_T1_151,570,4.094634288,0.957933111,0.645267717,rhizo,W5,PASJA_POMORSKA,1,2,High
R_W5_T1_152,R_W5_T1_152,599,4.222121102,0.962791108,0.660195214,rhizo,W5,SALTO,1,3,High
R_W5_T1_154,R_W5_T1_154,510,3.970695629,0.955251562,0.63689991,rhizo,W5,PASJA_POMORSKA,1,3,High
R_W5_T1_160,R_W5_T1_160,639,4.316416517,0.964410017,0.668185814,rhizo,W5,ATOL,1,1,Low
R_W5_T1_176,R_W5_T1_176,597,4.227741674,0.960611537,0.661419978,rhizo,W5,DESIREE,1,2,High
R_W5_T1_178,R_W5_T1_178,624,4.189140257,0.959322137,0.650876691,rhizo,W5,SALTO,1,1,High
R_W5_T1_179,R_W5_T1_179,625,4.253811741,0.95664698,0.66076046,rhizo,W5,DESIREE,1,1,High
R_W5_T1_181,R_W5_T1_181,597,4.194975794,0.958200646,0.656293835,rhizo,W5,JELLY,1,1,Middle
R_W5_T1_182,R_W5_T1_182,599,4.299353601,0.965384881,0.672271734,rhizo,W5,RUDAWA,1,2,High
R_W5_T1_185,R_W5_T1_185,637,4.357543287,0.966681591,0.67487978,rhizo,W5,PASJA_POMORSKA,1,1,High
R_W5_T1_187,R_W5_T1_187,616,4.321889141,0.965208288,0.672851155,rhizo,W5,RUDAWA,1,3,High
R_W5_T1_206,R_W5_T1_206,593,4.14673183,0.957511558,0.649429222,rhizo,W5,SALTO,1,2,High
R_W5_T1_208,R_W5_T1_208,543,4.086359328,0.957100354,0.648926217,rhizo,W5,KRAB,1,2,Middle
R_W5_T1_209,R_W5_T1_209,607,4.274859757,0.963623803,0.6670579,rhizo,W5,RUDAWA,1,1,High
R_W5_T1_210,R_W5_T1_210,593,4.214778863,0.964044502,0.660086224,rhizo,W5,DESIREE,1,3,High
