SampleID,Cultivar,Group,Color,Select,root_shoot_biomass,root_length,root_biomass,Bac_richness,Bac_shannon,Fun_richness,Fun_shannon,RE_richness,RE_shannon
S117_16S,Ackersegen,d,no,no,0.148353396,21,0.096726414,1029,6.322932026,437,4.476735161,18.33333333,2.257265165
S4_16S,Ackersegen,d,no,no,0.215015766,30,0.08837148,1328,6.570410246,405,4.656749437,18.33333333,2.257265165
S84_16S,Ackersegen,d,no,no,0.126819656,22,0.068482614,1112,6.399857018,405,4.46787,18.33333333,2.257265165
S122_16S,Amex,b,no,no,0.110470878,28,0.059322861,1079,6.26761036,388,4.479935504,38,3.285512609
S18_16S,Amex,b,no,no,0.136431265,34,0.087452441,1041,6.263398695,438,4.621680461,38,3.285512609
S86_16S,Amex,b,no,no,0.239657344,29,0.122225245,968,6.1330572,416,4.576386605,38,3.285512609
S131_16S,Anielka,c,no,no,0.252664807,26,0.072767465,1011,6.327150194,441,4.686221133,25,2.633307401
S45_16S,Anielka,c,no,no,0.179711461,37,0.089136885,998,6.322104652,453,4.615950255,25,2.633307401
S64_16S,Anielka,c,no,no,0.147759625,35,0.059251609,837,6.173293142,432,4.668289748,25,2.633307401
S110_16S,Apollo,d,no,no,0.1536111,30,0.091398605,930,6.219647184,365,4.079120005,21.33333333,2.364493698
S42_16S,Apollo,d,no,no,0.143902673,25,0.077707444,787,5.76867207,414,4.449014841,21.33333333,2.364493698
S95_16S,Apollo,d,no,no,0.203320435,24,0.078481688,1546,6.701194505,405,4.542447183,21.33333333,2.364493698
S151_16S,Apta,d,no,no,0.621988181,27,0.125641612,1291,6.463619086,409,4.456561443,18.33333333,2.389802539
S50_16S,Apta,d,no,no,0.179542784,36,0.096234932,1012,6.171079846,411,4.233363718,18.33333333,2.389802539
S83_16S,Apta,d,no,no,0.211101762,30,0.126661057,1294,6.453083268,430,4.445424183,18.33333333,2.389802539
S113_16S,Arran Banner,a,no,no,0.110855083,30,0.072610079,1103,6.313465359,434,4.337941345,30,2.817191239
S38_16S,Arran Banner,a,no,no,0.223488792,31,0.105710199,1028,6.344935563,445,4.47144475,30,2.817191239
S52_16S,Arran Banner,a,no,no,0.401095043,30,0.134366839,1248,6.447902974,394,4.33831523,30,2.817191239
S123_16S,Astrid,b,no,no,0.140246959,30,0.108971887,961,6.206509195,400,4.228798463,28,2.769645455
S22_16S,Astrid,b,no,no,0.194077807,34,0.088111324,860,6.13830614,407,4.509408782,28,2.769645455
S74_16S,Astrid,b,no,no,0.178469505,33,0.121002324,970,6.270055725,381,4.001999387,28,2.769645455
S101_16S,Atlantic,b,no,no,0.273459111,32,0.135909178,1386,6.540311397,436,4.685509755,38,3.186138858
S137_16S,Atlantic,b,no,no,0.137280135,30,0.112157871,1252,6.443820093,454,4.423211563,38,3.186138858
S43_16S,Atlantic,b,no,no,0.293633288,19,0.113636082,940,6.120314778,300,3.420291518,38,3.186138858
S120_16S,Atol,c,c,c,0.166836822,37,0.094095968,854,6.038753488,374,4.064958846,29,2.921371781
S25_16S,Atol,c,c,c,0.141860066,20,0.061709129,1122,6.32628995,301,3.001788638,29,2.921371781
S66_16S,Atol,c,c,c,0.144781577,20,0.057623067,811,5.91680501,393,4.285484815,29,2.921371781
S136_16S,Aula,c,no,no,0.30716362,17,0.08231985,1234,6.52145608,431,4.505846373,31,2.93282999
S47_16S,Aula,c,no,no,0.229347945,37,0.103206575,1209,6.469015972,417,4.57190826,31,2.93282999
S69_16S,Aula,c,no,no,0.093022418,26,0.048557702,952,6.22165143,431,4.62520945,31,2.93282999
S1_16S,Ballade,c,no,no,0.150163577,33,0.094603053,1124,6.373491529,422,4.399243507,35.66666667,3.144648523
S153_16S,Ballade,c,no,no,0.184294566,33,0.064503098,1274,6.532475096,430,4.602271945,35.66666667,3.144648523
S87_16S,Ballade,c,no,no,0.174431309,28,0.065586172,798,6.04035857,396,4.530547551,35.66666667,3.144648523
S132_16S,Baltyk,d,no,no,0.169621634,22,0.0705626,1186,6.417015147,429,4.555251505,18.66666667,2.312339312
S48_16S,Baltyk,d,no,no,0.198498922,35.5,0.109174407,893,6.041692652,408,4.515131773,18.66666667,2.312339312
S88_16S,Baltyk,d,no,no,0.271963076,22,0.092195483,1035,6.335261465,440,4.569320882,18.66666667,2.312339312
S139_16S,Belladonna,c,no,no,0.322774793,29.5,0.100060186,1062,6.234459515,444,4.507635353,27,2.870083897
S89_16S,Belladonna,c,no,no,0.240259953,29,0.080727344,1278,6.42164755,388,4.082923651,27,2.870083897
S9_16S,Belladonna,c,no,no,0.259398331,37,0.12269541,1108,6.393312961,438,4.597585613,27,2.870083897
S140_16S,Bihoro,a,no,a,0.189199818,32.5,0.079653123,962,6.224893578,402,4.134616773,19.66666667,2.299665458
S33_16S,Bihoro,a,no,a,0.135688601,24.5,0.058074721,974,6.211170705,435,4.498449137,19.66666667,2.299665458
S72_16S,Bihoro,a,no,a,0.118467344,28,0.05935214,771,5.958738292,420,4.318548531,19.66666667,2.299665458
S149_16S,Bodenkraft,d,no,no,0.323535757,21,0.109355086,1332,6.530770951,425,4.409015571,25.33333333,2.585043808
S2_16S,Bodenkraft,d,no,no,0.5934006,31,0.114526316,1042,6.258904871,402,4.584318765,25.33333333,2.585043808
S96_16S,Bodenkraft,d,no,no,0.382155282,36,0.147129784,1336,6.49249067,447,4.508356495,25.33333333,2.585043808
S138_16S,Brda Stara,d,no,d,0.731896029,17,0.04244997,1006,6.202154501,427,4.264923407,25.33333333,2.48336771
S26_16S,Brda Stara,d,no,d,0.108167355,8.5,0.026501002,953,6.18121217,427,4.276558111,25.33333333,2.48336771
S60_16S,Brda Stara,d,no,d,0.182544714,30,0.103867942,781,6.015833654,461,4.633210293,25.33333333,2.48336771
S141_16S,Cajka,c,no,no,0.30816952,21,0.077350549,750,5.990988017,411,4.17997829,38.66666667,3.123194132
S7_16S,Cajka,c,no,no,0.384683913,37,0.133485318,1256,6.424159448,455,4.709637056,38.66666667,3.123194132
S75_16S,Cajka,c,no,no,0.197707424,33,0.107355131,939,6.03718712,400,4.300640744,38.66666667,3.123194132
S114_16S,Cariboo,d,no,no,0.299260214,43,0.090675845,1102,6.318670231,464,4.651895231,25.66666667,2.640202667
S29_16S,Cariboo,d,no,no,0.35446473,30.5,0.123708191,0,0,389,4.472408382,25.66666667,2.640202667
S90_16S,Cariboo,d,no,no,0.367896086,22.5,0.158931109,1177,6.428122966,432,4.546206994,25.66666667,2.640202667
S142_16S,Carnea,a,no,no,0.169241711,36,0.079543604,788,5.993401618,409,4.459101092,30.33333333,2.82132916
S15_16S,Carnea,a,no,no,0.106383866,35,0.05063872,1032,6.219579815,411,4.402354659,30.33333333,2.82132916
S85_16S,Carnea,a,no,no,0.473580664,51,0.118395166,982,6.231431237,404,4.348046794,30.33333333,2.82132916
S144_16S,Ceres,c,no,no,0.155475311,36,0.078204082,1014,6.292892596,405,4.395864604,18.33333333,2.228076104
S44_16S,Ceres,c,no,no,0.231720619,28,0.087590394,835,5.968186095,416,4.513206247,18.33333333,2.228076104
S78_16S,Ceres,c,no,no,0.128125262,38,0.077003283,1285,6.524860888,421,4.576170387,18.33333333,2.228076104
S135_16S,Cobra,a,no,no,0.263581238,26,0.133108525,1295,6.415371162,457,4.542925958,27.66666667,2.672264864
S32_16S,Cobra,a,no,no,0.226875888,26.5,0.100279142,838,6.096742215,402,4.444252776,27.66666667,2.672264864
