SampleID,Cultivar,Group,Color,Select,root_shoot_biomass,root_length,root_biomass,Bac_richness,Bac_shannon,Fun_richness,Fun_shannon,RE_richness,RE_shannon,Mean
S117_16S,Ackersegen,d,no,no,-0.687512772,-1.223344541,0.048874961,-0.279190558,0.105664967,0.769434177,0.355628739,-1.58654276,-1.683939626,-0.46454749
S4_16S,Ackersegen,d,no,no,-0.093483454,-0.006627002,-0.167884174,1.162521876,0.562297789,-0.276996304,0.88276641,-1.58654276,-1.683939626,-0.134209694
S84_16S,Ackersegen,d,no,no,-0.879400233,-1.088153703,-0.683877884,0.121017241,0.247602614,-0.276996304,0.329668796,-1.58654276,-1.683939626,-0.611180206
S122_16S,Amex,b,no,no,-1.025084424,-0.277008677,-0.92151712,-0.038101522,0.003588557,-0.832912497,0.365000337,1.302357188,1.588414247,0.01830401
S18_16S,Amex,b,no,no,-0.79375105,0.534136349,-0.191727582,-0.221329189,-0.004182569,0.80213513,0.780073564,1.302357188,1.588414247,0.421791787
S86_16S,Amex,b,no,no,0.126097994,-0.14181784,0.710412747,-0.573319181,-0.244681328,0.082714174,0.647439096,1.302357188,1.588414247,0.388624122
S131_16S,Anielka,c,no,no,0.24200768,-0.547390352,-0.572712362,-0.365982611,0.113448093,0.900237988,0.969068683,-0.607254642,-0.487201161,-0.039530965
S45_16S,Anielka,c,no,no,-0.408080614,0.939708862,-0.148026624,-0.42866576,0.104138344,1.292649418,0.763293743,-0.607254642,-0.487201161,0.11339573
S64_16S,Anielka,c,no,no,-0.692803874,0.669327186,-0.923365671,-1.204972455,-0.170440242,0.605929415,0.916560023,-0.607254642,-0.487201161,-0.210469047
S110_16S,Apollo,d,no,no,-0.640661298,-0.006627002,-0.089348904,-0.756546849,-0.084910384,-1.585034405,-0.808711845,-1.145863107,-1.342689368,-0.717821463
S42_16S,Apollo,d,no,no,-0.727173228,-0.68258119,-0.4445503,-1.446061491,-0.91702417,0.017312269,0.274455039,-1.145863107,-1.342689368,-0.712686172
S95_16S,Apollo,d,no,no,-0.197700714,-0.817772028,-0.424463431,2.213670072,0.80361351,-0.276996304,0.548053935,-1.145863107,-1.342689368,-0.071127493
S151_16S,Apta,d,no,no,3.533053469,-0.412199515,0.799046452,0.984115989,0.365252777,-0.146192494,0.296553832,-1.58654276,-1.262145055,0.2856603
S50_16S,Apta,d,no,no,-0.409583697,0.804518024,0.036124026,-0.36116083,-0.174524091,-0.080790589,-0.357038381,-1.58654276,-1.262145055,-0.376793706
S83_16S,Apta,d,no,no,-0.128361199,-0.006627002,0.825494778,0.998581332,0.345812681,0.54052751,0.263940478,-1.58654276,-1.262145055,-0.001035471
S113_16S,Arran Banner,a,no,no,-1.021660768,-0.006627002,-0.576795561,0.077621215,0.088197609,0.67133132,-0.050802632,0.127211447,0.098001353,-0.065947002
S38_16S,Arran Banner,a,no,no,-0.0179802,0.128563836,0.28194891,-0.284012339,0.14626465,1.031041798,0.340136774,0.127211447,0.098001353,0.205686248
S52_16S,Arran Banner,a,no,no,1.564671604,-0.006627002,1.025412412,0.776779419,0.336254296,-0.636706782,-0.04970778,0.127211447,0.098001353,0.359476552
S123_16S,Astrid,b,no,no,-0.759749347,-0.006627002,0.366569646,-0.607071646,-0.109151859,-0.440501067,-0.370406865,-0.166574989,-0.053311088,-0.238536024
S22_16S,Astrid,b,no,no,-0.280061902,0.534136349,-0.174633622,-1.094071499,-0.23499628,-0.211594399,0.451307242,-0.166574989,-0.053311088,-0.136644465
S74_16S,Astrid,b,no,no,-0.419147701,0.398945511,0.678685471,-0.56367562,0.008100606,-1.061819165,-1.034544951,-0.166574989,-0.053311088,-0.245926881
S101_16S,Atlantic,b,no,no,0.427306016,0.263754673,1.06542662,1.442185157,0.506761094,0.736733225,0.966985548,1.302357188,1.2721615,0.887074558
S137_16S,Atlantic,b,no,no,-0.786186757,-0.006627002,0.44922633,0.796066542,0.328720795,1.325350371,0.198895032,1.302357188,1.2721615,0.542218222
S43_16S,Atlantic,b,no,no,0.607078392,-1.493726216,0.487576811,-0.708329041,-0.268192924,-3.71059632,-2.737966136,1.302357188,1.2721615,-0.583292972
S120_16S,Atol,c,c,c,-0.522806703,0.939708862,-0.01936893,-1.123002183,-0.418685206,-1.290725833,-0.850180114,-0.019681771,0.429551508,-0.319465597
S25_16S,Atol,c,c,c,-0.745374928,-1.358535378,-0.859608147,0.169235049,0.111860819,-3.677895368,-3.96347246,-0.019681771,0.429551508,-1.101546742
S66_16S,Atol,c,c,c,-0.719341302,-1.358535378,-0.965616317,-1.330338754,-0.643697643,-0.669407734,-0.204411632,-0.019681771,0.429551508,-0.609053225
S136_16S,Aula,c,no,no,0.727647371,-1.764107891,-0.324886741,0.709274489,0.471970329,0.573228462,0.440875403,0.274104664,0.466016772,0.17490254
S47_16S,Aula,c,no,no,0.034230795,0.939708862,0.21699527,0.588729971,0.375210806,0.115415127,0.634325112,0.274104664,0.466016772,0.40497082
S69_16S,Aula,c,no,no,-1.180567897,-0.547390352,-1.200806765,-0.650467673,-0.081212263,0.573228462,0.790407539,0.274104664,0.466016772,-0.172965279
S1_16S,Ballade,c,no,no,-0.671382224,0.398945511,-0.006213194,0.17887861,0.198954504,0.278919889,0.128709125,0.959606347,1.140120268,0.289615426
S153_16S,Ballade,c,no,no,-0.3672405,0.398945511,-0.78712184,0.902145717,0.492301994,0.54052751,0.723239406,0.959606347,1.140120268,0.444724935
S87_16S,Ballade,c,no,no,-0.455132122,-0.277008677,-0.759022734,-1.393021903,-0.415723599,-0.571304877,0.513208119,0.959606347,1.140120268,-0.139808797
S132_16S,Baltyk,d,no,no,-0.497991204,-1.088153703,-0.629915044,0.477829014,0.279261824,0.507826557,0.585548964,-1.537578353,-1.508668489,-0.379093382
S48_16S,Baltyk,d,no,no,-0.240665284,0.736922605,0.371823794,-0.934952735,-0.413262026,-0.178893446,0.468065936,-1.537578353,-1.508668489,-0.359689778
S88_16S,Baltyk,d,no,no,0.413974827,-1.088153703,-0.068674823,-0.250259874,0.128414551,0.867537035,0.626748466,-1.537578353,-1.508668489,-0.268517818
S139_16S,Belladonna,c,no,no,0.866758753,-0.074222421,0.135365833,-0.120071794,-0.057579508,0.998340845,0.446114092,-0.313468206,0.266329993,0.238618621
S89_16S,Belladonna,c,no,no,0.131467852,-0.14181784,-0.366202474,0.92143284,0.287809272,-0.832912497,-0.797573589,-0.313468206,0.266329993,-0.093881628
S9_16S,Belladonna,c,no,no,0.302010208,0.939708862,0.722610636,0.101730119,0.23552789,0.80213513,0.709516371,-0.313468206,0.266329993,0.418455667
S140_16S,Bihoro,a,no,a,-0.323529731,0.331350092,-0.3940719,-0.602249866,-0.075230035,-0.375099161,-0.646200084,-1.390685135,-1.549002492,-0.558302035
S33_16S,Bihoro,a,no,a,-0.800368939,-0.750176609,-0.953898674,-0.544388497,-0.100550704,0.704032272,0.419214,-1.390685135,-1.549002492,-0.551758309
S72_16S,Bihoro,a,no,a,-0.953827803,-0.277008677,-0.92075751,-1.523209982,-0.566324722,0.213517984,-0.10759081,-1.390685135,-1.549002492,-0.786098794
S149_16S,Bodenkraft,d,no,no,0.873539714,-1.223344541,0.376511303,1.181808999,0.489157602,0.377022747,0.157324762,-0.558290236,-0.640797999,0.114770261
S2_16S,Bodenkraft,d,no,no,3.278309132,0.128563836,0.510672906,-0.216507409,-0.012474319,-0.375099161,0.670666922,-0.558290236,-0.640797999,0.309449297
S96_16S,Bodenkraft,d,no,no,1.395899127,0.804518024,1.356532313,1.201096122,0.418524992,1.096443703,0.448225819,-0.558290236,-0.640797999,0.613572429
S138_16S,Brda Stara,d,no,d,4.512443851,-1.764107891,-1.359264833,-0.390091514,-0.117186894,0.442424652,-0.264621817,-0.558290236,-0.964377868,-0.051452506
S26_16S,Brda Stara,d,no,d,-1.04561115,-2.913230011,-1.773042429,-0.645645892,-0.155828499,0.442424652,-0.230551792,-0.558290236,-0.964377868,-0.871572581
S60_16S,Brda Stara,d,no,d,-0.382833456,-0.006627002,0.234153675,-1.474992175,-0.460975588,1.554257038,0.813836491,-0.558290236,-0.964377868,-0.13842768
S141_16S,Cajka,c,no,no,0.73661096,-1.223344541,-0.453809529,-1.624467377,-0.506819353,-0.080790589,-0.513367484,1.400286,1.071842579,-0.132651037
S7_16S,Cajka,c,no,no,1.418431794,0.939708862,1.002542366,0.815353664,0.292444084,1.358051323,1.037637774,1.400286,1.071842579,1.037366494
S75_16S,Cajka,c,no,no,-0.247718334,0.398945511,0.324624775,-0.713150822,-0.421575379,-0.440501067,-0.160030368,1.400286,1.071842579,0.134746988
